[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.444s][info][metaspace] Reserving compressed class space anywhere
[0.444s][info][gc,metaspace] CDS archive(s) not mapped
[0.444s][info][gc,metaspace] Compressed class space mapped at: 0x0000000009000000-0x00000000c9000000, reserved size: 3221225472
[0.444s][info][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0, Narrow klass range: 0xc9000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.326s][info][gc,metaspace] GC(0) Metaspace: 21975K(22144K)->21975K(22144K) NonClass: 19669K(19776K)->19669K(19776K) Class: 2305K(2368K)->2305K(2368K)
[1.326s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->5M(6144M) 5.283ms
[1.732s][info][gc,metaspace] GC(1) Metaspace: 22270K(22464K)->22270K(22464K) NonClass: 19964K(20096K)->19964K(20096K) Class: 2305K(2368K)->2305K(2368K)
[1.732s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 321M->5M(6144M) 4.125ms
[4.740s][info][gc,metaspace] GC(2) Metaspace: 23667K(23872K)->23667K(23872K) NonClass: 21359K(21504K)->21359K(21504K) Class: 2307K(2368K)->2307K(2368K)
[4.740s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 3681M->6M(6144M) 4.192ms
[7.499s][info][gc,metaspace] GC(3) Metaspace: 23792K(24000K)->23792K(24000K) NonClass: 21485K(21632K)->21485K(21632K) Class: 2307K(2368K)->2307K(2368K)
[7.499s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 3682M->6M(6144M) 4.006ms

Loading 2048...[7.860s][info][gc,metaspace] GC(4) Metaspace: 25945K(26176K)->25945K(26176K) NonClass: 22562K(22720K)->22562K(22720K) Class: 3383K(3456K)->3383K(3456K)
[7.860s][info][gc          ] GC(4) Pause Full (System.gc()) 456M->5M(6144M) 19.265ms
Creating 32768 objects per class...
Done; will start GCs... 
[17.633s][info][gc,metaspace] GC(5) Metaspace: 33403K(35328K)->33403K(35328K) NonClass: 28947K(29824K)->28947K(29824K) Class: 4455K(5504K)->4455K(5504K)
[17.633s][info][gc          ] GC(5) Pause Full (System.gc()) 1323M->1291M(6144M) 490.187ms
[18.082s][info][gc,metaspace] GC(6) Metaspace: 33403K(35328K)->33403K(35328K) NonClass: 28947K(29824K)->28947K(29824K) Class: 4455K(5504K)->4455K(5504K)
[18.082s][info][gc          ] GC(6) Pause Full (System.gc()) 1291M->1291M(6144M) 448.926ms
[18.481s][info][gc,metaspace] GC(7) Metaspace: 33403K(35328K)->33403K(35328K) NonClass: 28947K(29824K)->28947K(29824K) Class: 4455K(5504K)->4455K(5504K)
[18.481s][info][gc          ] GC(7) Pause Full (System.gc()) 1291M->1291M(6144M) 398.855ms
[18.939s][info][gc,metaspace] GC(8) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[18.939s][info][gc          ] GC(8) Pause Full (System.gc()) 1291M->1291M(6144M) 457.026ms
[19.375s][info][gc,metaspace] GC(9) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[19.375s][info][gc          ] GC(9) Pause Full (System.gc()) 1291M->1291M(6144M) 436.607ms
[19.817s][info][gc,metaspace] GC(10) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[19.817s][info][gc          ] GC(10) Pause Full (System.gc()) 1291M->1291M(6144M) 441.635ms
[20.278s][info][gc,metaspace] GC(11) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[20.278s][info][gc          ] GC(11) Pause Full (System.gc()) 1291M->1291M(6144M) 460.309ms
[20.713s][info][gc,metaspace] GC(12) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[20.713s][info][gc          ] GC(12) Pause Full (System.gc()) 1291M->1291M(6144M) 434.711ms
[21.184s][info][gc,metaspace] GC(13) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[21.184s][info][gc          ] GC(13) Pause Full (System.gc()) 1291M->1291M(6144M) 471.102ms
[21.606s][info][gc,metaspace] GC(14) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[21.606s][info][gc          ] GC(14) Pause Full (System.gc()) 1291M->1291M(6144M) 421.908ms
[22.065s][info][gc,metaspace] GC(15) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[22.065s][info][gc          ] GC(15) Pause Full (System.gc()) 1291M->1291M(6144M) 458.776ms
[22.491s][info][gc,metaspace] GC(16) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[22.491s][info][gc          ] GC(16) Pause Full (System.gc()) 1291M->1291M(6144M) 425.931ms
[22.958s][info][gc,metaspace] GC(17) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[22.958s][info][gc          ] GC(17) Pause Full (System.gc()) 1291M->1291M(6144M) 462.676ms
[23.398s][info][gc,metaspace] GC(18) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[23.398s][info][gc          ] GC(18) Pause Full (System.gc()) 1291M->1291M(6144M) 439.636ms
[23.827s][info][gc,metaspace] GC(19) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[23.827s][info][gc          ] GC(19) Pause Full (System.gc()) 1291M->1291M(6144M) 429.083ms
[24.299s][info][gc,metaspace] GC(20) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[24.299s][info][gc          ] GC(20) Pause Full (System.gc()) 1291M->1291M(6144M) 471.355ms
[24.705s][info][gc,metaspace] GC(21) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[24.705s][info][gc          ] GC(21) Pause Full (System.gc()) 1291M->1291M(6144M) 406.419ms
[25.180s][info][gc,metaspace] GC(22) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[25.180s][info][gc          ] GC(22) Pause Full (System.gc()) 1291M->1291M(6144M) 474.330ms
[25.605s][info][gc,metaspace] GC(23) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[25.605s][info][gc          ] GC(23) Pause Full (System.gc()) 1291M->1291M(6144M) 425.593ms
[26.049s][info][gc,metaspace] GC(24) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[26.049s][info][gc          ] GC(24) Pause Full (System.gc()) 1291M->1291M(6144M) 443.564ms
[26.458s][info][gc,metaspace] GC(25) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[26.458s][info][gc          ] GC(25) Pause Full (System.gc()) 1291M->1291M(6144M) 408.679ms
[26.865s][info][gc,metaspace] GC(26) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[26.865s][info][gc          ] GC(26) Pause Full (System.gc()) 1291M->1291M(6144M) 406.630ms
[27.327s][info][gc,metaspace] GC(27) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[27.327s][info][gc          ] GC(27) Pause Full (System.gc()) 1291M->1291M(6144M) 462.536ms
[27.745s][info][gc,metaspace] GC(28) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[27.745s][info][gc          ] GC(28) Pause Full (System.gc()) 1291M->1291M(6144M) 417.395ms
[28.220s][info][gc,metaspace] GC(29) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[28.220s][info][gc          ] GC(29) Pause Full (System.gc()) 1291M->1291M(6144M) 475.011ms
[28.647s][info][gc,metaspace] GC(30) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[28.647s][info][gc          ] GC(30) Pause Full (System.gc()) 1291M->1291M(6144M) 427.457ms
[29.095s][info][gc,metaspace] GC(31) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.095s][info][gc          ] GC(31) Pause Full (System.gc()) 1291M->1291M(6144M) 447.708ms
[29.522s][info][gc,metaspace] GC(32) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.522s][info][gc          ] GC(32) Pause Full (System.gc()) 1291M->1291M(6144M) 426.182ms
[29.975s][info][gc,metaspace] GC(33) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.975s][info][gc          ] GC(33) Pause Full (System.gc()) 1291M->1291M(6144M) 453.045ms
[30.398s][info][gc,metaspace] GC(34) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[30.398s][info][gc          ] GC(34) Pause Full (System.gc()) 1291M->1291M(6144M) 423.522ms
[30.823s][info][gc,metaspace] GC(35) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[30.823s][info][gc          ] GC(35) Pause Full (System.gc()) 1291M->1291M(6144M) 424.760ms
[31.269s][info][gc,metaspace] GC(36) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[31.269s][info][gc          ] GC(36) Pause Full (System.gc()) 1291M->1291M(6144M) 445.677ms
[31.710s][info][gc,metaspace] GC(37) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[31.710s][info][gc          ] GC(37) Pause Full (System.gc()) 1291M->1291M(6144M) 440.646ms
[32.182s][info][gc,metaspace] GC(38) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[32.182s][info][gc          ] GC(38) Pause Full (System.gc()) 1291M->1291M(6144M) 472.281ms
[32.595s][info][gc,metaspace] GC(39) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[32.595s][info][gc          ] GC(39) Pause Full (System.gc()) 1291M->1291M(6144M) 412.686ms
[33.044s][info][gc,metaspace] GC(40) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[33.044s][info][gc          ] GC(40) Pause Full (System.gc()) 1291M->1291M(6144M) 449.082ms
[33.502s][info][gc,metaspace] GC(41) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
