[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.433s][info][metaspace] Reserving compressed class space anywhere
[0.433s][info][gc,metaspace] CDS archive(s) not mapped
[0.433s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.433s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.433s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.374s][info][gc,metaspace] GC(0) Metaspace: 25327K(26496K)->25327K(26496K) NonClass: 19780K(20032K)->19780K(20032K) Class: 5547K(6464K)->5547K(6464K)
[1.374s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 4.425ms
[1.801s][info][gc,metaspace] GC(1) Metaspace: 25633K(26752K)->25633K(26752K) NonClass: 20085K(20288K)->20085K(20288K) Class: 5547K(6464K)->5547K(6464K)
[1.801s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->5M(6144M) 4.360ms
[5.185s][info][gc,metaspace] GC(2) Metaspace: 27014K(28224K)->27014K(28224K) NonClass: 21464K(21696K)->21464K(21696K) Class: 5550K(6528K)->5550K(6528K)
[5.185s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 3681M->5M(6144M) 5.741ms

Loading 2048...[8.042s][info][gc,metaspace] GC(3) Metaspace: 30215K(31360K)->30215K(31360K) NonClass: 22663K(22848K)->22663K(22848K) Class: 7551K(8512K)->7551K(8512K)
[8.042s][info][gc          ] GC(3) Pause Full (System.gc()) 3343M->5M(6144M) 25.056ms
Creating 32768 objects per class...
Done; will start GCs... 
[17.385s][info][gc,metaspace] GC(4) Metaspace: 59090K(71232K)->59090K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[17.385s][info][gc          ] GC(4) Pause Full (System.gc()) 809M->778M(6144M) 490.924ms
[17.855s][info][gc,metaspace] GC(5) Metaspace: 59090K(71232K)->59090K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[17.855s][info][gc          ] GC(5) Pause Full (System.gc()) 778M->778M(6144M) 469.918ms
[18.262s][info][gc,metaspace] GC(6) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[18.262s][info][gc          ] GC(6) Pause Full (System.gc()) 778M->778M(6144M) 407.004ms
[18.656s][info][gc,metaspace] GC(7) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[18.656s][info][gc          ] GC(7) Pause Full (System.gc()) 778M->778M(6144M) 394.271ms
[19.067s][info][gc,metaspace] GC(8) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[19.067s][info][gc          ] GC(8) Pause Full (System.gc()) 778M->778M(6144M) 409.917ms
[19.494s][info][gc,metaspace] GC(9) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[19.494s][info][gc          ] GC(9) Pause Full (System.gc()) 778M->778M(6144M) 427.286ms
[19.920s][info][gc,metaspace] GC(10) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[19.920s][info][gc          ] GC(10) Pause Full (System.gc()) 778M->778M(6144M) 425.810ms
[20.322s][info][gc,metaspace] GC(11) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[20.322s][info][gc          ] GC(11) Pause Full (System.gc()) 778M->778M(6144M) 401.670ms
[20.726s][info][gc,metaspace] GC(12) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[20.726s][info][gc          ] GC(12) Pause Full (System.gc()) 778M->778M(6144M) 403.793ms
[21.122s][info][gc,metaspace] GC(13) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[21.122s][info][gc          ] GC(13) Pause Full (System.gc()) 778M->778M(6144M) 395.812ms
[21.511s][info][gc,metaspace] GC(14) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[21.511s][info][gc          ] GC(14) Pause Full (System.gc()) 778M->778M(6144M) 388.945ms
[21.925s][info][gc,metaspace] GC(15) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[21.925s][info][gc          ] GC(15) Pause Full (System.gc()) 778M->778M(6144M) 414.266ms
[22.351s][info][gc,metaspace] GC(16) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[22.351s][info][gc          ] GC(16) Pause Full (System.gc()) 778M->778M(6144M) 425.912ms
[22.765s][info][gc,metaspace] GC(17) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[22.765s][info][gc          ] GC(17) Pause Full (System.gc()) 778M->778M(6144M) 413.260ms
[23.180s][info][gc,metaspace] GC(18) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[23.180s][info][gc          ] GC(18) Pause Full (System.gc()) 778M->778M(6144M) 414.866ms
[23.591s][info][gc,metaspace] GC(19) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[23.591s][info][gc          ] GC(19) Pause Full (System.gc()) 778M->778M(6144M) 411.650ms
[24.028s][info][gc,metaspace] GC(20) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.028s][info][gc          ] GC(20) Pause Full (System.gc()) 778M->778M(6144M) 436.846ms
[24.455s][info][gc,metaspace] GC(21) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.455s][info][gc          ] GC(21) Pause Full (System.gc()) 778M->778M(6144M) 426.480ms
[24.856s][info][gc,metaspace] GC(22) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.856s][info][gc          ] GC(22) Pause Full (System.gc()) 778M->778M(6144M) 400.537ms
[25.276s][info][gc,metaspace] GC(23) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[25.276s][info][gc          ] GC(23) Pause Full (System.gc()) 778M->778M(6144M) 419.942ms
[25.694s][info][gc,metaspace] GC(24) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[25.694s][info][gc          ] GC(24) Pause Full (System.gc()) 778M->778M(6144M) 418.412ms
