[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.436s][info][metaspace] Reserving compressed class space anywhere
[0.436s][info][gc,metaspace] CDS archive(s) not mapped
[0.436s][info][gc,metaspace] Compressed class space mapped at: 0x000000003e000000-0x00000000fe000000, reserved size: 3221225472
[0.436s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.436s][info][gc,metaspace] Narrow klass base: 0x000000003e000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 4096
Num Objects per Class: 16384
Cycles: 100
Class association: random
Generate 4096 classes...[1.464s][info][gc,metaspace] GC(0) Metaspace: 22121K(22272K)->22121K(22272K) NonClass: 22121K(22272K)->22121K(22272K) Class: 0K(0K)->0K(0K)
[1.464s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 4.665ms
[1.868s][info][gc,metaspace] GC(1) Metaspace: 22428K(22528K)->22428K(22528K) NonClass: 22428K(22528K)->22428K(22528K) Class: 0K(0K)->0K(0K)
[1.868s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->4M(6144M) 4.126ms
[5.310s][info][gc,metaspace] GC(2) Metaspace: 23835K(24000K)->23835K(24000K) NonClass: 23835K(24000K)->23835K(24000K) Class: 0K(0K)->0K(0K)
[5.310s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 3680M->5M(6144M) 6.081ms
[8.272s][info][gc,metaspace] GC(3) Metaspace: 23981K(24128K)->23981K(24128K) NonClass: 23981K(24128K)->23981K(24128K) Class: 0K(0K)->0K(0K)
[8.272s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 3681M->6M(6144M) 7.185ms
[11.131s][info][gc,metaspace] GC(4) Metaspace: 24053K(24192K)->24053K(24192K) NonClass: 24053K(24192K)->24053K(24192K) Class: 0K(0K)->0K(0K)
[11.131s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 3682M->7M(6144M) 5.871ms

Loading 4096...[14.098s][info][gc,metaspace] GC(5) Metaspace: 28227K(28352K)->28227K(28352K) NonClass: 28227K(28352K)->28227K(28352K) Class: 0K(0K)->0K(0K)
[14.098s][info][gc          ] GC(5) Pause Full (System.gc()) 3573M->7M(6144M) 25.743ms
Creating 16384 objects per class...
Done; will start GCs... 
[31.691s][info][gc,metaspace] GC(6) Metaspace: 40828K(42432K)->40828K(42432K) NonClass: 40828K(42432K)->40828K(42432K) Class: 0K(0K)->0K(0K)
[31.691s][info][gc          ] GC(6) Pause Full (System.gc()) 835M->782M(6144M) 591.081ms
[32.233s][info][gc,metaspace] GC(7) Metaspace: 40828K(42432K)->40828K(42432K) NonClass: 40828K(42432K)->40828K(42432K) Class: 0K(0K)->0K(0K)
[32.233s][info][gc          ] GC(7) Pause Full (System.gc()) 782M->782M(6144M) 541.752ms
[32.761s][info][gc,metaspace] GC(8) Metaspace: 40828K(42432K)->40828K(42432K) NonClass: 40828K(42432K)->40828K(42432K) Class: 0K(0K)->0K(0K)
[32.761s][info][gc          ] GC(8) Pause Full (System.gc()) 782M->782M(6144M) 528.468ms
[33.306s][info][gc,metaspace] GC(9) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[33.306s][info][gc          ] GC(9) Pause Full (System.gc()) 782M->782M(6144M) 544.409ms
[33.839s][info][gc,metaspace] GC(10) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[33.839s][info][gc          ] GC(10) Pause Full (System.gc()) 782M->782M(6144M) 532.778ms
[34.403s][info][gc,metaspace] GC(11) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[34.403s][info][gc          ] GC(11) Pause Full (System.gc()) 782M->782M(6144M) 564.517ms
