[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.432s][info][metaspace] Reserving compressed class space anywhere
[0.432s][info][gc,metaspace] CDS archive(s) not mapped
[0.432s][info][gc,metaspace] Compressed class space mapped at: 0x000000003a000000-0x00000000fa000000, reserved size: 3221225472
[0.432s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.433s][info][gc,metaspace] Narrow klass base: 0x000000003a000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.454s][info][gc,metaspace] GC(0) Metaspace: 22121K(22272K)->22121K(22272K) NonClass: 22121K(22272K)->22121K(22272K) Class: 0K(0K)->0K(0K)
[1.454s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 4.378ms
[1.844s][info][gc,metaspace] GC(1) Metaspace: 22424K(22528K)->22424K(22528K) NonClass: 22424K(22528K)->22424K(22528K) Class: 0K(0K)->0K(0K)
[1.844s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->4M(6144M) 3.543ms
[5.051s][info][gc,metaspace] GC(2) Metaspace: 23791K(23936K)->23791K(23936K) NonClass: 23791K(23936K)->23791K(23936K) Class: 0K(0K)->0K(0K)
[5.051s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 3680M->5M(6144M) 4.306ms

Loading 2048...[7.886s][info][gc,metaspace] GC(3) Metaspace: 26042K(26176K)->26042K(26176K) NonClass: 26042K(26176K)->26042K(26176K) Class: 0K(0K)->0K(0K)
[7.886s][info][gc          ] GC(3) Pause Full (System.gc()) 3293M->5M(6144M) 21.444ms
Creating 32768 objects per class...
Done; will start GCs... 
[17.165s][info][gc,metaspace] GC(4) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[17.165s][info][gc          ] GC(4) Pause Full (System.gc()) 809M->778M(6144M) 503.832ms
[17.635s][info][gc,metaspace] GC(5) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[17.635s][info][gc          ] GC(5) Pause Full (System.gc()) 778M->778M(6144M) 470.129ms
[18.095s][info][gc,metaspace] GC(6) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[18.095s][info][gc          ] GC(6) Pause Full (System.gc()) 778M->778M(6144M) 459.414ms
[18.555s][info][gc,metaspace] GC(7) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[18.555s][info][gc          ] GC(7) Pause Full (System.gc()) 778M->778M(6144M) 460.316ms
[19.000s][info][gc,metaspace] GC(8) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[19.000s][info][gc          ] GC(8) Pause Full (System.gc()) 778M->778M(6144M) 445.082ms
[19.460s][info][gc,metaspace] GC(9) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[19.460s][info][gc          ] GC(9) Pause Full (System.gc()) 778M->778M(6144M) 459.181ms
[19.895s][info][gc,metaspace] GC(10) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[19.895s][info][gc          ] GC(10) Pause Full (System.gc()) 778M->778M(6144M) 435.039ms
[20.370s][info][gc,metaspace] GC(11) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[20.370s][info][gc          ] GC(11) Pause Full (System.gc()) 778M->778M(6144M) 475.382ms
[20.852s][info][gc,metaspace] GC(12) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[20.852s][info][gc          ] GC(12) Pause Full (System.gc()) 778M->778M(6144M) 481.531ms
[21.296s][info][gc,metaspace] GC(13) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[21.296s][info][gc          ] GC(13) Pause Full (System.gc()) 778M->778M(6144M) 443.601ms
[21.730s][info][gc,metaspace] GC(14) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[21.730s][info][gc          ] GC(14) Pause Full (System.gc()) 778M->778M(6144M) 433.949ms
[22.210s][info][gc,metaspace] GC(15) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[22.210s][info][gc          ] GC(15) Pause Full (System.gc()) 778M->778M(6144M) 475.538ms
[22.652s][info][gc,metaspace] GC(16) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[22.652s][info][gc          ] GC(16) Pause Full (System.gc()) 778M->778M(6144M) 442.266ms
[23.089s][info][gc,metaspace] GC(17) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[23.089s][info][gc          ] GC(17) Pause Full (System.gc()) 778M->778M(6144M) 437.249ms
[23.526s][info][gc,metaspace] GC(18) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[23.526s][info][gc          ] GC(18) Pause Full (System.gc()) 778M->778M(6144M) 436.123ms
[23.992s][info][gc,metaspace] GC(19) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[23.992s][info][gc          ] GC(19) Pause Full (System.gc()) 778M->778M(6144M) 465.928ms
[24.450s][info][gc,metaspace] GC(20) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[24.450s][info][gc          ] GC(20) Pause Full (System.gc()) 778M->778M(6144M) 458.394ms
[24.889s][info][gc,metaspace] GC(21) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[24.889s][info][gc          ] GC(21) Pause Full (System.gc()) 778M->778M(6144M) 438.599ms
[25.333s][info][gc,metaspace] GC(22) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[25.333s][info][gc          ] GC(22) Pause Full (System.gc()) 778M->778M(6144M) 443.762ms
[25.769s][info][gc,metaspace] GC(23) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[25.769s][info][gc          ] GC(23) Pause Full (System.gc()) 778M->778M(6144M) 436.416ms
[26.199s][info][gc,metaspace] GC(24) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[26.199s][info][gc          ] GC(24) Pause Full (System.gc()) 778M->778M(6144M) 429.576ms
[26.650s][info][gc,metaspace] GC(25) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[26.650s][info][gc          ] GC(25) Pause Full (System.gc()) 778M->778M(6144M) 450.886ms
[27.079s][info][gc,metaspace] GC(26) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[27.079s][info][gc          ] GC(26) Pause Full (System.gc()) 778M->778M(6144M) 428.739ms
[27.536s][info][gc,metaspace] GC(27) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[27.537s][info][gc          ] GC(27) Pause Full (System.gc()) 778M->778M(6144M) 457.782ms
[28.025s][info][gc,metaspace] GC(28) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[28.025s][info][gc          ] GC(28) Pause Full (System.gc()) 778M->778M(6144M) 488.117ms
[28.490s][info][gc,metaspace] GC(29) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[28.490s][info][gc          ] GC(29) Pause Full (System.gc()) 778M->778M(6144M) 465.447ms
[28.948s][info][gc,metaspace] GC(30) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[28.948s][info][gc          ] GC(30) Pause Full (System.gc()) 778M->778M(6144M) 457.802ms
[29.411s][info][gc,metaspace] GC(31) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[29.411s][info][gc          ] GC(31) Pause Full (System.gc()) 778M->778M(6144M) 462.557ms
[29.856s][info][gc,metaspace] GC(32) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[29.856s][info][gc          ] GC(32) Pause Full (System.gc()) 778M->778M(6144M) 445.362ms
[30.309s][info][gc,metaspace] GC(33) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[30.309s][info][gc          ] GC(33) Pause Full (System.gc()) 778M->778M(6144M) 452.767ms
[30.740s][info][gc,metaspace] GC(34) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[30.740s][info][gc          ] GC(34) Pause Full (System.gc()) 778M->778M(6144M) 431.200ms
[31.183s][info][gc,metaspace] GC(35) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[31.183s][info][gc          ] GC(35) Pause Full (System.gc()) 778M->778M(6144M) 442.436ms
[31.649s][info][gc,metaspace] GC(36) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[31.649s][info][gc          ] GC(36) Pause Full (System.gc()) 778M->778M(6144M) 465.885ms
[32.115s][info][gc,metaspace] GC(37) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[32.115s][info][gc          ] GC(37) Pause Full (System.gc()) 778M->778M(6144M) 465.544ms
[32.585s][info][gc,metaspace] GC(38) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[32.585s][info][gc          ] GC(38) Pause Full (System.gc()) 778M->778M(6144M) 465.780ms
[32.997s][info][gc,metaspace] GC(39) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[32.997s][info][gc          ] GC(39) Pause Full (System.gc()) 778M->778M(6144M) 412.161ms
[33.446s][info][gc,metaspace] GC(40) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[33.446s][info][gc          ] GC(40) Pause Full (System.gc()) 778M->778M(6144M) 448.786ms
[33.881s][info][gc,metaspace] GC(41) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[33.881s][info][gc          ] GC(41) Pause Full (System.gc()) 778M->778M(6144M) 435.359ms
[34.323s][info][gc,metaspace] GC(42) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[34.323s][info][gc          ] GC(42) Pause Full (System.gc()) 778M->778M(6144M) 442.035ms
[34.745s][info][gc,metaspace] GC(43) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[34.745s][info][gc          ] GC(43) Pause Full (System.gc()) 778M->778M(6144M) 421.070ms
[35.197s][info][gc,metaspace] GC(44) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[35.197s][info][gc          ] GC(44) Pause Full (System.gc()) 778M->778M(6144M) 452.159ms
[35.667s][info][gc,metaspace] GC(45) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[35.667s][info][gc          ] GC(45) Pause Full (System.gc()) 778M->778M(6144M) 470.221ms
[36.152s][info][gc,metaspace] GC(46) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[36.152s][info][gc          ] GC(46) Pause Full (System.gc()) 778M->778M(6144M) 484.332ms
[36.631s][info][gc,metaspace] GC(47) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[36.631s][info][gc          ] GC(47) Pause Full (System.gc()) 778M->778M(6144M) 479.574ms
[37.090s][info][gc,metaspace] GC(48) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[37.090s][info][gc          ] GC(48) Pause Full (System.gc()) 778M->778M(6144M) 458.264ms
[37.518s][info][gc,metaspace] GC(49) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[37.518s][info][gc          ] GC(49) Pause Full (System.gc()) 778M->778M(6144M) 428.304ms
