[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.419s][info][metaspace] Reserving compressed class space anywhere
[0.419s][info][gc,metaspace] CDS archive(s) not mapped
[0.419s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.419s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.419s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.352s][info][gc,metaspace] GC(0) Metaspace: 22076K(22464K)->22076K(22464K) NonClass: 18265K(18496K)->18265K(18496K) Class: 3811K(3968K)->3811K(3968K)
[1.352s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 4.413ms
[1.759s][info][gc,metaspace] GC(1) Metaspace: 22391K(22720K)->22391K(22720K) NonClass: 18579K(18752K)->18579K(18752K) Class: 3811K(3968K)->3811K(3968K)
[1.759s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->4M(6144M) 4.258ms

Loading 512...[3.049s][info][gc,metaspace] GC(2) Metaspace: 24433K(24896K)->24433K(24896K) NonClass: 20107K(20352K)->20107K(20352K) Class: 4326K(4544K)->4326K(4544K)
[3.050s][info][gc          ] GC(2) Pause Full (System.gc()) 1328M->3M(6144M) 19.432ms
Creating 131072 objects per class...
Done; will start GCs... 
[8.052s][info][gc,metaspace] GC(3) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[8.052s][info][gc          ] GC(3) Pause Full (System.gc()) 787M->775M(6144M) 462.092ms
[8.425s][info][gc,metaspace] GC(4) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[8.425s][info][gc          ] GC(4) Pause Full (System.gc()) 775M->775M(6144M) 372.713ms
[8.806s][info][gc,metaspace] GC(5) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[8.806s][info][gc          ] GC(5) Pause Full (System.gc()) 775M->775M(6144M) 381.528ms
[9.173s][info][gc,metaspace] GC(6) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[9.173s][info][gc          ] GC(6) Pause Full (System.gc()) 775M->775M(6144M) 366.682ms
[9.555s][info][gc,metaspace] GC(7) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[9.555s][info][gc          ] GC(7) Pause Full (System.gc()) 775M->775M(6144M) 382.041ms
[9.933s][info][gc,metaspace] GC(8) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[9.933s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->775M(6144M) 377.951ms
[10.305s][info][gc,metaspace] GC(9) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[10.305s][info][gc          ] GC(9) Pause Full (System.gc()) 775M->775M(6144M) 371.590ms
[10.686s][info][gc,metaspace] GC(10) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[10.686s][info][gc          ] GC(10) Pause Full (System.gc()) 775M->775M(6144M) 381.469ms
[11.072s][info][gc,metaspace] GC(11) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[11.072s][info][gc          ] GC(11) Pause Full (System.gc()) 775M->775M(6144M) 385.575ms
[11.440s][info][gc,metaspace] GC(12) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[11.440s][info][gc          ] GC(12) Pause Full (System.gc()) 775M->775M(6144M) 367.813ms
