GC,Classes,A,B,C,D
-XX:+UseG1GC,512,37759.68,33543.063,32730.353,34393.946,
-XX:+UseG1GC,1024,49300.141,36032.046,37191.1,36639.937,
-XX:+UseG1GC,2048,54550.96,42748.761,45528.677,41209.746,
-XX:+UseG1GC,4096,59684.789,50151.833,53975.162,49861.255,
-XX:+UseG1GC,8192,62697.799,55948.724,65088.635,58083.578,
-XX:+UseG1GC,16384,86827.051,61288.54,82189.051,68467.882,
-XX:+UseParallelGC,512,74064.939,70542.251,67758.229,70019.948,
-XX:+UseParallelGC,1024,79292.105,72247.997,70416.071,72124.985,
-XX:+UseParallelGC,2048,84509.822,75873.374,78765.036,78531.498,
-XX:+UseParallelGC,4096,100344.944,97273.87,95960.716,96941.899,
-XX:+UseParallelGC,8192,91390.748,90030.719,90268.744,90358.76,
-XX:+UseParallelGC,16384,76037.342,65672.584,71982.781,67513.834,
-XX:+UseSerialGC,512,217390.588,196823.74,219525.767,204376.167,
-XX:+UseSerialGC,1024,299807.218,210463.354,236903.682,223621.19,
-XX:+UseSerialGC,2048,340434.414,276074.307,305505.567,243525.715,
-XX:+UseSerialGC,4096,319871.332,284919.832,345784.728,291421.01,
-XX:+UseSerialGC,8192,374921.748,320935.931,402129.573,332720.037,
-XX:+UseSerialGC,16384,579707.513,361156.056,528566.009,400279.697,
