Done; will start GCs... 
[203.121s][info][gc,metaspace] GC(17) Metaspace: 61983K(68928K)->61983K(68928K) NonClass: 51088K(54016K)->51088K(54016K) Class: 10895K(14912K)->10895K(14912K)
[203.121s][info][gc          ] GC(17) Pause Full (System.gc()) 282M->181M(4096M) 2109.137ms
[205.110s][info][gc,metaspace] GC(18) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[205.110s][info][gc          ] GC(18) Pause Full (System.gc()) 181M->181M(4096M) 1986.780ms
[207.091s][info][gc,metaspace] GC(19) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[207.091s][info][gc          ] GC(19) Pause Full (System.gc()) 181M->181M(4096M) 1980.377ms
[209.076s][info][gc,metaspace] GC(20) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[209.076s][info][gc          ] GC(20) Pause Full (System.gc()) 181M->181M(4096M) 1983.345ms
[211.055s][info][gc,metaspace] GC(21) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[211.056s][info][gc          ] GC(21) Pause Full (System.gc()) 181M->181M(4096M) 1979.138ms
[213.032s][info][gc,metaspace] GC(22) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[213.032s][info][gc          ] GC(22) Pause Full (System.gc()) 181M->181M(4096M) 1975.626ms
[215.015s][info][gc,metaspace] GC(23) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[215.015s][info][gc          ] GC(23) Pause Full (System.gc()) 181M->181M(4096M) 1982.263ms
[216.992s][info][gc,metaspace] GC(24) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[216.992s][info][gc          ] GC(24) Pause Full (System.gc()) 181M->181M(4096M) 1975.177ms
[219.604s][info][gc,metaspace] GC(25) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[219.604s][info][gc          ] GC(25) Pause Full (System.gc()) 181M->181M(4096M) 2611.466ms
[223.105s][info][gc,metaspace] GC(26) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[223.105s][info][gc          ] GC(26) Pause Full (System.gc()) 181M->181M(4096M) 3496.239ms
[225.168s][info][gc,metaspace] GC(27) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[225.168s][info][gc          ] GC(27) Pause Full (System.gc()) 181M->181M(4096M) 2058.706ms
[227.182s][info][gc,metaspace] GC(28) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[227.183s][info][gc          ] GC(28) Pause Full (System.gc()) 181M->181M(4096M) 2014.349ms
[229.084s][info][gc,metaspace] GC(29) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[229.084s][info][gc          ] GC(29) Pause Full (System.gc()) 181M->181M(4096M) 1901.132ms
[230.969s][info][gc,metaspace] GC(30) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[230.970s][info][gc          ] GC(30) Pause Full (System.gc()) 181M->181M(4096M) 1884.796ms
[232.871s][info][gc,metaspace] GC(31) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[232.871s][info][gc          ] GC(31) Pause Full (System.gc()) 181M->181M(4096M) 1901.015ms
[234.763s][info][gc,metaspace] GC(32) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
