Done; will start GCs... 
[116.384s][info][gc,metaspace] GC(14) Metaspace: 43058K(46656K)->43058K(46656K) NonClass: 36456K(38016K)->36456K(38016K) Class: 6602K(8640K)->6602K(8640K)
[116.384s][info][gc          ] GC(14) Pause Full (System.gc()) 240M->171M(4088M) 2332.536ms
[118.296s][info][gc,metaspace] GC(15) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[118.296s][info][gc          ] GC(15) Pause Full (System.gc()) 171M->171M(4088M) 1897.874ms
[119.665s][info][gc,metaspace] GC(16) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[119.666s][info][gc          ] GC(16) Pause Full (System.gc()) 171M->171M(4088M) 1365.885ms
[122.275s][info][gc,metaspace] GC(17) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[122.276s][info][gc          ] GC(17) Pause Full (System.gc()) 171M->171M(4088M) 2609.534ms
[123.670s][info][gc,metaspace] GC(18) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[123.671s][info][gc          ] GC(18) Pause Full (System.gc()) 171M->171M(4088M) 1392.430ms
[125.026s][info][gc,metaspace] GC(19) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[125.026s][info][gc          ] GC(19) Pause Full (System.gc()) 171M->171M(4088M) 1353.762ms
[127.681s][info][gc,metaspace] GC(20) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[127.681s][info][gc          ] GC(20) Pause Full (System.gc()) 171M->171M(4088M) 2654.159ms
[129.024s][info][gc,metaspace] GC(21) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[129.024s][info][gc          ] GC(21) Pause Full (System.gc()) 171M->171M(4088M) 1342.147ms
[130.364s][info][gc,metaspace] GC(22) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[130.364s][info][gc          ] GC(22) Pause Full (System.gc()) 171M->171M(4088M) 1339.069ms
[132.971s][info][gc,metaspace] GC(23) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[132.971s][info][gc          ] GC(23) Pause Full (System.gc()) 171M->171M(4088M) 2606.023ms
[134.317s][info][gc,metaspace] GC(24) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[134.317s][info][gc          ] GC(24) Pause Full (System.gc()) 171M->171M(4088M) 1341.134ms
[135.710s][info][gc,metaspace] GC(25) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[135.710s][info][gc          ] GC(25) Pause Full (System.gc()) 171M->171M(4088M) 1383.781ms
[137.063s][info][gc,metaspace] GC(26) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[137.063s][info][gc          ] GC(26) Pause Full (System.gc()) 171M->171M(4088M) 1352.615ms
[139.284s][info][gc,metaspace] GC(27) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[139.284s][info][gc          ] GC(27) Pause Full (System.gc()) 171M->171M(4088M) 2220.503ms
[141.304s][info][gc,metaspace] GC(28) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[141.305s][info][gc          ] GC(28) Pause Full (System.gc()) 176M->171M(4088M) 2019.041ms
[143.899s][info][gc,metaspace] GC(29) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[143.900s][info][gc          ] GC(29) Pause Full (System.gc()) 171M->171M(4088M) 2592.307ms
[145.245s][info][gc,metaspace] GC(30) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[145.245s][info][gc          ] GC(30) Pause Full (System.gc()) 171M->171M(4088M) 1345.287ms
[146.597s][info][gc,metaspace] GC(31) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[146.598s][info][gc          ] GC(31) Pause Full (System.gc()) 171M->171M(4088M) 1352.540ms
[149.226s][info][gc,metaspace] GC(32) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[149.226s][info][gc          ] GC(32) Pause Full (System.gc()) 171M->171M(4088M) 2627.917ms
[150.611s][info][gc,metaspace] GC(33) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[150.611s][info][gc          ] GC(33) Pause Full (System.gc()) 171M->171M(4088M) 1384.234ms
[153.266s][info][gc,metaspace] GC(34) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[153.266s][info][gc          ] GC(34) Pause Full (System.gc()) 171M->171M(4088M) 2655.120ms
[154.621s][info][gc,metaspace] GC(35) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[154.621s][info][gc          ] GC(35) Pause Full (System.gc()) 171M->171M(4088M) 1354.210ms
[155.971s][info][gc,metaspace] GC(36) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[155.971s][info][gc          ] GC(36) Pause Full (System.gc()) 171M->171M(4088M) 1350.069ms
[157.297s][info][gc,metaspace] GC(37) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[157.297s][info][gc          ] GC(37) Pause Full (System.gc()) 171M->171M(4088M) 1325.739ms
[158.639s][info][gc,metaspace] GC(38) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[158.639s][info][gc          ] GC(38) Pause Full (System.gc()) 171M->171M(4088M) 1341.706ms
[161.279s][info][gc,metaspace] GC(39) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[161.279s][info][gc          ] GC(39) Pause Full (System.gc()) 171M->171M(4088M) 2639.746ms
[162.638s][info][gc,metaspace] GC(40) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[162.638s][info][gc          ] GC(40) Pause Full (System.gc()) 171M->171M(4088M) 1358.265ms
[163.981s][info][gc,metaspace] GC(41) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[163.981s][info][gc          ] GC(41) Pause Full (System.gc()) 171M->171M(4088M) 1343.175ms
[165.342s][info][gc,metaspace] GC(42) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[165.342s][info][gc          ] GC(42) Pause Full (System.gc()) 171M->171M(4088M) 1360.485ms
[166.684s][info][gc,metaspace] GC(43) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[166.684s][info][gc          ] GC(43) Pause Full (System.gc()) 171M->171M(4088M) 1341.416ms
[168.031s][info][gc,metaspace] GC(44) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[168.031s][info][gc          ] GC(44) Pause Full (System.gc()) 171M->171M(4088M) 1346.950ms
[169.376s][info][gc,metaspace] GC(45) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[169.377s][info][gc          ] GC(45) Pause Full (System.gc()) 171M->171M(4088M) 1345.259ms
[172.016s][info][gc,metaspace] GC(46) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[172.016s][info][gc          ] GC(46) Pause Full (System.gc()) 171M->171M(4088M) 2639.109ms
[173.358s][info][gc,metaspace] GC(47) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[173.358s][info][gc          ] GC(47) Pause Full (System.gc()) 171M->171M(4088M) 1341.408ms
[175.067s][info][gc,metaspace] GC(48) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[175.067s][info][gc          ] GC(48) Pause Full (System.gc()) 171M->171M(4088M) 1709.044ms
[177.311s][info][gc,metaspace] GC(49) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[177.311s][info][gc          ] GC(49) Pause Full (System.gc()) 171M->171M(4088M) 2243.205ms
[178.693s][info][gc,metaspace] GC(50) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[178.693s][info][gc          ] GC(50) Pause Full (System.gc()) 171M->171M(4088M) 1381.525ms
[180.069s][info][gc,metaspace] GC(51) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[180.070s][info][gc          ] GC(51) Pause Full (System.gc()) 171M->171M(4088M) 1377.003ms
[182.705s][info][gc,metaspace] GC(52) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[182.706s][info][gc          ] GC(52) Pause Full (System.gc()) 171M->171M(4088M) 2635.539ms
[184.488s][info][gc,metaspace] GC(53) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[184.488s][info][gc          ] GC(53) Pause Full (System.gc()) 171M->171M(4088M) 1781.858ms
[186.670s][info][gc,metaspace] GC(54) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[186.670s][info][gc          ] GC(54) Pause Full (System.gc()) 171M->171M(4088M) 2180.958ms
[189.316s][info][gc,metaspace] GC(55) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[189.317s][info][gc          ] GC(55) Pause Full (System.gc()) 171M->171M(4088M) 2646.553ms
[190.686s][info][gc,metaspace] GC(56) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[190.686s][info][gc          ] GC(56) Pause Full (System.gc()) 171M->171M(4088M) 1369.028ms
[192.439s][info][gc,metaspace] GC(57) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[192.440s][info][gc          ] GC(57) Pause Full (System.gc()) 171M->171M(4088M) 1753.504ms
[194.661s][info][gc,metaspace] GC(58) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[194.661s][info][gc          ] GC(58) Pause Full (System.gc()) 171M->171M(4088M) 2220.628ms
[196.027s][info][gc,metaspace] GC(59) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[196.027s][info][gc          ] GC(59) Pause Full (System.gc()) 171M->171M(4088M) 1365.870ms
[197.582s][info][gc,metaspace] GC(60) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[197.583s][info][gc          ] GC(60) Pause Full (System.gc()) 171M->171M(4088M) 1555.710ms
[200.051s][info][gc,metaspace] GC(61) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[200.051s][info][gc          ] GC(61) Pause Full (System.gc()) 171M->171M(4088M) 2466.979ms
[201.437s][info][gc,metaspace] GC(62) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[201.438s][info][gc          ] GC(62) Pause Full (System.gc()) 176M->171M(4088M) 1386.069ms
[203.472s][info][gc,metaspace] GC(63) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[203.473s][info][gc          ] GC(63) Pause Full (System.gc()) 171M->171M(4088M) 2035.322ms
[205.418s][info][gc,metaspace] GC(64) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[205.418s][info][gc          ] GC(64) Pause Full (System.gc()) 171M->171M(4088M) 1943.851ms
[206.788s][info][gc,metaspace] GC(65) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[206.788s][info][gc          ] GC(65) Pause Full (System.gc()) 171M->171M(4088M) 1369.644ms
[208.136s][info][gc,metaspace] GC(66) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[208.136s][info][gc          ] GC(66) Pause Full (System.gc()) 171M->171M(4088M) 1348.242ms
[210.107s][info][gc,metaspace] GC(67) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[210.107s][info][gc          ] GC(67) Pause Full (System.gc()) 171M->171M(4088M) 1970.575ms
[212.147s][info][gc,metaspace] GC(68) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[212.148s][info][gc          ] GC(68) Pause Full (System.gc()) 171M->171M(4088M) 2039.820ms
[213.536s][info][gc,metaspace] GC(69) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[213.536s][info][gc          ] GC(69) Pause Full (System.gc()) 171M->171M(4088M) 1388.481ms
[214.900s][info][gc,metaspace] GC(70) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[214.901s][info][gc          ] GC(70) Pause Full (System.gc()) 171M->171M(4088M) 1364.032ms
[216.695s][info][gc,metaspace] GC(71) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[216.696s][info][gc          ] GC(71) Pause Full (System.gc()) 171M->171M(4088M) 1794.661ms
[218.828s][info][gc,metaspace] GC(72) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[218.829s][info][gc          ] GC(72) Pause Full (System.gc()) 171M->171M(4088M) 2132.379ms
[220.160s][info][gc,metaspace] GC(73) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[220.160s][info][gc          ] GC(73) Pause Full (System.gc()) 171M->171M(4088M) 1331.126ms
[221.532s][info][gc,metaspace] GC(74) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[221.532s][info][gc          ] GC(74) Pause Full (System.gc()) 171M->171M(4088M) 1371.597ms
[223.330s][info][gc,metaspace] GC(75) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[223.330s][info][gc          ] GC(75) Pause Full (System.gc()) 171M->171M(4088M) 1797.960ms
[225.522s][info][gc,metaspace] GC(76) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[225.522s][info][gc          ] GC(76) Pause Full (System.gc()) 171M->171M(4088M) 2191.211ms
[226.892s][info][gc,metaspace] GC(77) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[226.892s][info][gc          ] GC(77) Pause Full (System.gc()) 171M->171M(4088M) 1369.878ms
[228.273s][info][gc,metaspace] GC(78) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[228.273s][info][gc          ] GC(78) Pause Full (System.gc()) 171M->171M(4088M) 1380.720ms
[230.435s][info][gc,metaspace] GC(79) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[230.436s][info][gc          ] GC(79) Pause Full (System.gc()) 171M->171M(4088M) 2162.138ms
[232.291s][info][gc,metaspace] GC(80) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[232.291s][info][gc          ] GC(80) Pause Full (System.gc()) 171M->171M(4088M) 1855.131ms
[233.660s][info][gc,metaspace] GC(81) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[233.660s][info][gc          ] GC(81) Pause Full (System.gc()) 171M->171M(4088M) 1368.694ms
[235.006s][info][gc,metaspace] GC(82) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[235.007s][info][gc          ] GC(82) Pause Full (System.gc()) 171M->171M(4088M) 1345.859ms
