Done; will start GCs... 
[319.577s][info][gc,metaspace] GC(61) Metaspace: 90692K(106176K)->90692K(106176K) NonClass: 71211K(78784K)->71211K(78784K) Class: 19481K(27392K)->19481K(27392K)
[319.577s][info][gc          ] GC(61) Pause Full (System.gc()) 215M->196M(3959M) 5359.365ms
[326.187s][info][gc,metaspace] GC(62) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[326.187s][info][gc          ] GC(62) Pause Full (System.gc()) 196M->195M(3959M) 6608.877ms
[331.488s][info][gc,metaspace] GC(63) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[331.488s][info][gc          ] GC(63) Pause Full (System.gc()) 196M->195M(3959M) 5300.870ms
[336.786s][info][gc,metaspace] GC(64) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[336.786s][info][gc          ] GC(64) Pause Full (System.gc()) 195M->195M(3959M) 5296.394ms
[342.083s][info][gc,metaspace] GC(65) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[342.083s][info][gc          ] GC(65) Pause Full (System.gc()) 195M->195M(3959M) 5296.868ms
[348.612s][info][gc,metaspace] GC(66) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[348.612s][info][gc          ] GC(66) Pause Full (System.gc()) 195M->195M(3959M) 6527.423ms
[353.912s][info][gc,metaspace] GC(67) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[353.912s][info][gc          ] GC(67) Pause Full (System.gc()) 195M->195M(3959M) 5299.497ms
[359.215s][info][gc,metaspace] GC(68) Metaspace: 90693K(106176K)->90693K(106176K) NonClass: 71212K(78784K)->71212K(78784K) Class: 19481K(27392K)->19481K(27392K)
[359.215s][info][gc          ] GC(68) Pause Full (System.gc()) 195M->195M(3959M) 5302.278ms
[364.511s][info][gc,metaspace] GC(69) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
