
===================================
Domain Marker;critical-jOPS;5671.0
Domain Marker;max-jOPS;13145.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;700.0;1000.0
277.0;300.0;500.0;700.0;700.0;900.0;1500.0
415.0;300.0;600.0;800.0;900.0;1100.0;153000.0
553.0;300.0;600.0;1000.0;1000.0;1300.0;150000.0
692.0;300.0;700.0;1100.0;1200.0;1500.0;154000.0
830.0;300.0;800.0;1300.0;1400.0;1700.0;155000.0
969.0;300.0;900.0;1400.0;1500.0;1800.0;152000.0
1107.0;300.0;1000.0;1500.0;1700.0;2100.0;148000.0
1245.0;300.0;1100.0;1700.0;1800.0;2500.0;16500.0
1384.0;300.0;1200.0;1800.0;2000.0;2500.0;146000.0
1522.0;300.0;1200.0;2000.0;2200.0;2800.0;151000.0
1660.0;300.0;1300.0;2100.0;2300.0;3000.0;145000.0
1799.0;300.0;1400.0;2300.0;2500.0;4200.0;163000.0
1937.0;300.0;1500.0;2400.0;2600.0;3300.0;170000.0
2076.0;300.0;1600.0;2500.0;2800.0;3800.0;159000.0
2214.0;300.0;1600.0;2600.0;2900.0;4500.0;156000.0
2352.0;300.0;1700.0;2800.0;3000.0;4000.0;174000.0
2491.0;400.0;1800.0;2900.0;3200.0;6900.0;155000.0
2629.0;300.0;1900.0;3100.0;3400.0;5400.0;175000.0
2767.0;300.0;1900.0;3200.0;3600.0;5700.0;154000.0
2906.0;400.0;2000.0;3300.0;3700.0;5100.0;156000.0
3044.0;300.0;2100.0;3500.0;3900.0;9500.0;157000.0
3183.0;300.0;2200.0;3600.0;4000.0;7100.0;159000.0
3321.0;300.0;2300.0;3800.0;4300.0;15100.0;174000.0
3459.0;300.0;2300.0;3900.0;4400.0;13800.0;161000.0
3598.0;300.0;2400.0;4100.0;4600.0;15500.0;218000.0
3736.0;300.0;2500.0;4200.0;4700.0;19900.0;205000.0
3874.0;300.0;2600.0;4300.0;4800.0;11100.0;201000.0
4013.0;300.0;2600.0;4600.0;5200.0;24000.0;209000.0
4151.0;300.0;2700.0;4700.0;5300.0;26000.0;238000.0
4289.0;300.0;2800.0;4900.0;5600.0;23000.0;177000.0
4428.0;300.0;2900.0;5000.0;5700.0;24000.0;156000.0
4566.0;300.0;3000.0;5200.0;5900.0;31000.0;215000.0
4705.0;400.0;3000.0;5400.0;6200.0;34000.0;365000.0
4843.0;400.0;3100.0;5500.0;6300.0;35000.0;268000.0
4981.0;300.0;3200.0;5700.0;6600.0;33000.0;162000.0
5120.0;300.0;3300.0;5800.0;6600.0;29000.0;245000.0
5258.0;300.0;3400.0;6000.0;7100.0;40000.0;281000.0
5396.0;300.0;3500.0;6200.0;7300.0;48000.0;258000.0
5535.0;400.0;3600.0;6500.0;7800.0;48000.0;236000.0
5673.0;300.0;3700.0;6600.0;8100.0;39000.0;364000.0
5812.0;400.0;3700.0;6700.0;8200.0;51000.0;252000.0
5950.0;300.0;3800.0;6900.0;8200.0;41000.0;305000.0
6088.0;300.0;4000.0;7200.0;9000.0;41000.0;321000.0
6227.0;300.0;4100.0;7500.0;9400.0;44000.0;264000.0
6365.0;300.0;4200.0;7800.0;11100.0;65000.0;389000.0
6503.0;300.0;4200.0;7800.0;10100.0;60000.0;279000.0
6642.0;300.0;4400.0;8100.0;10800.0;60000.0;284000.0
6780.0;300.0;4500.0;8400.0;12300.0;73000.0;330000.0
6918.0;300.0;4700.0;8700.0;13000.0;66000.0;325000.0
7057.0;300.0;4900.0;9300.0;17100.0;69000.0;336000.0
7195.0;300.0;5000.0;9300.0;14200.0;69000.0;361000.0
7334.0;400.0;5100.0;10100.0;21000.0;74000.0;547000.0
7472.0;300.0;5100.0;10000.0;19400.0;75000.0;371000.0
7610.0;300.0;5200.0;11000.0;27000.0;90000.0;424000.0
7749.0;300.0;5300.0;10700.0;27000.0;84000.0;393000.0
7887.0;300.0;5300.0;11700.0;30000.0;85000.0;462000.0
8025.0;300.0;5400.0;11600.0;27000.0;72000.0;441000.0
8164.0;300.0;5500.0;12500.0;37000.0;93000.0;368000.0
8302.0;300.0;5400.0;12500.0;33000.0;92000.0;438000.0
8441.0;300.0;5800.0;14700.0;40000.0;109000.0;581000.0
8579.0;300.0;6000.0;15500.0;43000.0;106000.0;1300000.0
8717.0;300.0;5800.0;14800.0;42000.0;94000.0;522000.0
8856.0;300.0;6000.0;18500.0;62000.0;118000.0;1700000.0
8994.0;300.0;6200.0;18400.0;54000.0;111000.0;820000.0
9132.0;300.0;6000.0;17200.0;44000.0;98000.0;620000.0
9271.0;300.0;6300.0;19700.0;50000.0;126000.0;840000.0
9409.0;300.0;6300.0;25000.0;61000.0;140000.0;1100000.0
9548.0;300.0;6100.0;17100.0;38000.0;88000.0;377000.0
9686.0;300.0;6700.0;36000.0;76000.0;135000.0;1600000.0
9824.0;300.0;6800.0;35000.0;71000.0;116000.0;1700000.0
9963.0;300.0;7000.0;43000.0;90000.0;140000.0;2300000.0
10101.0;300.0;7000.0;26000.0;59000.0;118000.0;690000.0
10239.0;300.0;7400.0;50000.0;86000.0;148000.0;2700000.0
10378.0;300.0;7600.0;48000.0;98000.0;154000.0;2600000.0
10516.0;300.0;7900.0;46000.0;84000.0;147000.0;2200000.0
10654.0;300.0;7800.0;62000.0;100000.0;195000.0;2000000.0
10793.0;300.0;7900.0;41000.0;77000.0;134000.0;620000.0
10931.0;300.0;8200.0;59000.0;96000.0;164000.0;2000000.0
11070.0;300.0;9100.0;67000.0;102000.0;178000.0;2500000.0
11208.0;300.0;8800.0;63000.0;92000.0;167000.0;2100000.0
11346.0;300.0;10100.0;74000.0;128000.0;194000.0;3600000.0
11485.0;300.0;9900.0;66000.0;100000.0;215000.0;1600000.0
11623.0;300.0;10500.0;66000.0;97000.0;168000.0;1000000.0
11761.0;300.0;12900.0;122000.0;190000.0;339000.0;3600000.0
11900.0;300.0;14000.0;96000.0;135000.0;196000.0;2200000.0
12038.0;300.0;14300.0;102000.0;142000.0;316000.0;3700000.0
12177.0;300.0;17100.0;130000.0;176000.0;289000.0;3900000.0
12315.0;300.0;18600.0;131000.0;209000.0;364000.0;6200000.0
12453.0;300.0;21000.0;133000.0;183000.0;374000.0;4800000.0
12592.0;300.0;35000.0;167000.0;245000.0;445690.0000000023;5600000.0
12730.0;300.0;43000.0;184000.0;251000.0;379000.0;4600000.0
12868.0;300.0;65000.0;282000.0;384000.0;525000.0;8700000.0
13007.0;300.0;79000.0;275000.0;368000.0;557000.0;6300000.0
13145.0;600.0;246000.0;584000.0;760000.0;1200000.0;2.3E7
13284.0;500.0;387000.0;710000.0;900000.0;1400000.0;6.0E7
13422.0;61000.0;740000.0;1100000.0;1400000.0;4500000.0;1.6E7
13560.0;400.0;436000.0;710000.0;780000.0;970000.0;4.6E7
13699.0;74000.0;760000.0;1400000.0;2500000.0;3800000.0;1.8E7
