
===================================
Domain Marker;critical-jOPS;5462.0
Domain Marker;max-jOPS;12647.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
142.0;300.0;400.0;500.0;600.0;700.0;1200.0
284.0;300.0;500.0;700.0;700.0;900.0;1200.0
426.0;300.0;600.0;800.0;900.0;1100.0;147000.0
568.0;300.0;700.0;1000.0;1100.0;1300.0;5900.0
710.0;300.0;700.0;1100.0;1300.0;1500.0;149000.0
853.0;300.0;800.0;1300.0;1400.0;1700.0;154000.0
995.0;300.0;900.0;1500.0;1600.0;2000.0;150000.0
1137.0;300.0;1000.0;1600.0;1800.0;2200.0;152000.0
1279.0;300.0;1100.0;1700.0;1900.0;2400.0;152000.0
1421.0;300.0;1200.0;1900.0;2100.0;2600.0;149000.0
1563.0;300.0;1300.0;2000.0;2200.0;2800.0;150000.0
1705.0;400.0;1400.0;2200.0;2400.0;3100.0;143000.0
1847.0;400.0;1400.0;2300.0;2600.0;3600.0;144000.0
1989.0;300.0;1500.0;2400.0;2700.0;3700.0;168000.0
2131.0;300.0;1600.0;2600.0;2800.0;3700.0;163000.0
2274.0;400.0;1700.0;2700.0;3000.0;4200.0;156000.0
2416.0;400.0;1800.0;2900.0;3100.0;4600.0;153000.0
2558.0;300.0;1900.0;3000.0;3400.0;6600.0;161000.0
2700.0;400.0;1900.0;3200.0;3500.0;5200.0;159000.0
2842.0;400.0;2000.0;3300.0;3700.0;9000.0;164000.0
2984.0;400.0;2100.0;3500.0;3900.0;11900.0;156000.0
3126.0;300.0;2200.0;3600.0;4000.0;11500.0;167000.0
3268.0;300.0;2300.0;3800.0;4300.0;13400.0;165000.0
3410.0;300.0;2300.0;3900.0;4400.0;10800.0;199000.0
3552.0;400.0;2400.0;4100.0;4500.0;14600.0;159000.0
3695.0;300.0;2500.0;4300.0;4800.0;14500.0;160000.0
3837.0;400.0;2600.0;4400.0;4900.0;15400.0;203000.0
3979.0;300.0;2700.0;4600.0;5300.0;27000.0;226000.0
4121.0;300.0;2700.0;4700.0;5300.0;21000.0;191000.0
4263.0;300.0;2800.0;4900.0;5500.0;22000.0;161000.0
4405.0;300.0;2900.0;5000.0;5700.0;22000.0;208000.0
4547.0;300.0;3000.0;5300.0;6200.0;30000.0;176000.0
4689.0;400.0;3100.0;5400.0;6200.0;32000.0;231000.0
4831.0;300.0;3200.0;5600.0;6400.0;28000.0;195000.0
4973.0;300.0;3300.0;5700.0;6500.0;28000.0;166000.0
5116.0;300.0;3400.0;6000.0;7100.0;39000.0;204000.0
5258.0;300.0;3500.0;6100.0;7300.0;40000.0;281000.0
5400.0;300.0;3500.0;6300.0;7500.0;36000.0;283000.0
5542.0;300.0;3600.0;6600.0;8100.0;44000.0;262000.0
5684.0;400.0;3700.0;6600.0;7800.0;44000.0;270000.0
5826.0;300.0;3800.0;6800.0;8000.0;44000.0;258000.0
5968.0;300.0;4000.0;7300.0;9200.0;60000.0;373000.0
6110.0;400.0;4000.0;7300.0;9400.0;57000.0;272000.0
6252.0;300.0;4200.0;7700.0;10100.0;58000.0;324000.0
6394.0;300.0;4300.0;8000.0;11100.0;68000.0;345000.0
6537.0;300.0;4300.0;7800.0;9600.0;50000.0;242000.0
6679.0;300.0;4600.0;8600.0;14400.0;71000.0;474000.0
6821.0;300.0;4700.0;8600.0;11800.0;64000.0;309000.0
6963.0;300.0;4800.0;8900.0;12200.0;61000.0;537000.0
7105.0;300.0;4900.0;9100.0;13100.0;70000.0;314000.0
7247.0;300.0;5200.0;10300.0;23000.0;85000.0;410000.0
7389.0;400.0;5100.0;10100.0;19200.0;72000.0;451000.0
7531.0;300.0;5300.0;11000.0;31000.0;87000.0;720000.0
7673.0;300.0;5400.0;10600.0;16200.0;67000.0;391000.0
7815.0;400.0;5600.0;13000.0;41000.0;102000.0;980000.0
7958.0;400.0;5400.0;11600.0;22000.0;83000.0;434000.0
8100.0;300.0;5600.0;13000.0;33000.0;81000.0;620000.0
8242.0;300.0;5800.0;12700.0;29000.0;82000.0;413000.0
8384.0;300.0;5800.0;15500.0;51000.0;107000.0;1100000.0
8526.0;300.0;5900.0;14400.0;39000.0;94000.0;475000.0
8668.0;400.0;6100.0;17400.0;42000.0;97000.0;690000.0
8810.0;300.0;6200.0;17300.0;45000.0;89000.0;504000.0
8952.0;300.0;6200.0;17800.0;54000.0;109000.0;610000.0
9094.0;300.0;6400.0;22000.0;58000.0;137000.0;1100000.0
9236.0;300.0;6500.0;30000.0;68000.0;138000.0;1500000.0
9379.0;300.0;6400.0;19600.0;60000.0;123000.0;523000.0
9521.0;300.0;7100.0;37000.0;62000.0;153000.0;1700000.0
9663.0;300.0;7400.0;45000.0;85000.0;139000.0;2400000.0
9805.0;300.0;7400.0;30000.0;63000.0;133000.0;630000.0
9947.0;300.0;7600.0;49000.0;90000.0;190000.0;2300000.0
10089.0;300.0;7600.0;52000.0;88000.0;155000.0;2700000.0
10231.0;300.0;7800.0;37000.0;73000.0;122000.0;710000.0
10373.0;300.0;8800.0;68000.0;103000.0;192000.0;2800000.0
10515.0;300.0;8700.0;63000.0;97000.0;166000.0;2300000.0
10657.0;300.0;9200.0;73000.0;112000.0;182000.0;2700000.0
10800.0;300.0;8900.0;46000.0;74000.0;147000.0;960000.0
10942.0;300.0;9900.0;84000.0;136000.0;283000.0;3200000.0
11084.0;300.0;11200.0;76000.0;114000.0;228000.0;4800000.0
11226.0;300.0;12700.0;129000.0;178000.0;323000.0;3100000.0
11368.0;300.0;13800.0;101700.00000001164;153000.0;272369.99999999534;2800000.0
11510.0;300.0;13800.0;98000.0;159000.0;332000.0;3700000.0
11652.0;300.0;16400.0;96000.0;127000.0;190000.0;1300000.0
11794.0;300.0;19800.0;144000.0;208000.0;424000.0;4400000.0
11936.0;300.0;26000.0;137000.0;212000.0;347000.0;4200000.0
