Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5462.0
Domain Marker;max-jOPS;12647.0
Domain Marker;Last Success for SLAs;8810.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
142;92.1802715236927
284;93.62065913189184
426;94.32424893985886
568;95.04896470260432
710;95.19020394524273
853;95.9265162005316
995;96.1249280171762
1137;96.3851297732406
1279;95.66659837465377
1421;96.25994854674192
1563;96.74925857179646
1705;96.8760028236342
1847;96.72280764771536
1989;97.06414431692602
2131;96.88693366729203
2274;96.977690243454
2416;96.90225854377685
2558;97.16416406286223
2700;96.86686905008419
2842;97.46004928356824
2984;97.31094258922673
3126;97.54287527961168
3268;97.4402704909268
3410;97.20457938003152
3552;97.33578904757897
3695;97.3659093528177
3837;97.86548189546163
3979;97.76251586788264
4121;97.71126752743479
4263;97.8927946253411
4405;97.75683731218831
4547;97.37300809674711
4689;97.51988863421514
4831;97.86204843051264
4973;97.49304082630863
5116;98.03395274525468
5258;97.8658325119754
5400;97.74863877198392
5542;98.06622612252299
5684;97.43631134262225
5826;97.59407157261721
5968;97.80885212563666
6110;97.89360623230746
6252;98.04823329789568
6394;98.00486777943658
6537;96.19053058094717
6679;94.81596681922763
6821;92.2667312704796
6963;90.54328699670441
7105;88.83016741084911
7247;86.83984185929465
7389;85.61110262218978
7531;84.24988511606615
7673;82.03625388110086
7815;80.52298462575445
7958;79.23536533964507
8100;77.49639176140883
8242;76.08440645900171
8384;75.11731967658773
8526;73.58097473215047
8668;72.59926580598261
8810;71.34499287827244
8952;70.38982182538197
9094;68.58147968051875
9236;68.12525562667021
9379;66.7252801912663
9521;65.51990010981342
9663;65.22058595583255
9805;64.08242041102264
9947;63.0825161993106
10089;62.0254801874395
10231;61.09786776149406
10373;60.063956427494894
10515;59.323722964002734
10657;58.295935123442035
10800;57.50175119070753
10942;57.22446045119148
11084;55.79957499801711
11226;54.9052379499085
11368;54.092682264227555
11510;53.14747005012984
11652;53.2430813451898
11794;52.6924623181623
11936;50.75042135665154
12078;46.22506049856701
12221;48.863937110748225
12363;47.11907619849896
12505;41.78806187850974
12647;26.47567082181181
12789;15.242749560905427
12931;10.715960167268548
13073;9.917995633019617
13215;6.4638769116414245
