Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5740.0
Domain Marker;max-jOPS;12868.0
Domain Marker;Last Success for SLAs;9132.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.18039561920176
277;92.75732983216795
415;94.23267777376363
553;95.31428357446187
692;95.35042408727885
830;95.69858312510834
969;96.08111449228247
1107;96.29335980179583
1245;96.37725818481745
1384;96.448324274319
1522;96.46272380556834
1660;96.38674263598756
1799;96.94341228959009
1937;97.10160716569308
2076;96.6527112804987
2214;97.16892923628639
2352;97.03437840302017
2491;96.86518790024545
2629;97.1739266247997
2767;97.05157198009408
2906;97.26752079321413
3044;97.61587503728686
3183;97.45967435359483
3321;97.45348053952571
3459;97.65928519321783
3598;97.30628666348777
3736;97.47155150701414
3874;97.17581158215012
4013;97.57166425145489
4151;97.53871489905723
4289;97.86684378805886
4428;97.15006024140808
4566;97.69659120260764
4705;97.89546264005635
4843;97.53268939160469
4981;97.64044800655212
5120;97.88750244651146
5258;96.91939354475642
5396;97.74859898044609
5535;98.04240466694031
5673;97.97707162737315
5812;97.94547893294043
5950;97.79188875908991
6088;97.72395699010137
6227;97.83510702456189
6365;98.06632318362232
6503;96.88707291322676
6642;94.28151315326676
6780;93.04923560096802
6918;90.97060882030269
7057;89.16088052547582
7195;87.94761857647724
7334;86.13364300293873
7472;84.70047006439671
7610;83.13193200206268
7749;81.41150379008225
7887;79.95317092266338
8025;77.99578709490737
8164;76.89918002447449
8302;75.84552602178209
8441;73.85488230867078
8579;73.40713774705569
8717;72.20039575570517
8856;71.24877575373162
8994;70.34750986996883
9132;68.99722601485396
9271;67.70922183812613
9409;66.94390389824818
9548;65.20424762869018
9686;64.71004000952252
9824;63.956095748305465
9963;62.89926455262356
10101;62.04240987857271
10239;61.29991711023208
10378;60.2077615224566
10516;59.39948789719231
10654;58.519175580436716
10793;58.3962443078451
10931;56.37650159832801
11070;56.19492603151483
11208;54.7957418413686
11346;55.34399598026749
11485;52.934632956301385
11623;53.16573358054756
11761;52.29704263645474
11900;51.20818335329576
12038;50.53101447368796
12177;48.40624685653708
12315;47.828942669445766
12453;48.04179305798002
12592;44.171854672430335
12730;42.591574866353724
12868;34.819295148215865
13007;28.614718968519064
13145;18.67257334447538
13284;6.765284308418187
13422;23.560764575554717
