Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5495.0
Domain Marker;max-jOPS;13007.0
Domain Marker;Last Success for SLAs;8856.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.8981644262198
277;93.58863086717366
415;94.67562898399976
553;94.75200237353394
692;95.74872747109669
830;95.87258175655506
969;96.11419701918112
1107;96.16861208333816
1245;96.69973249516836
1384;95.9696344048315
1522;96.30847199843376
1660;96.53507239078512
1799;96.952339218619
1937;97.04328389372539
2076;96.85959202691264
2214;96.8351123694272
2352;97.01566713229332
2491;96.97403145186821
2629;97.18791325272402
2767;97.1720492783397
2906;97.44017510470664
3044;97.41269434350791
3183;97.43149872875743
3321;97.43509671401614
3459;97.47083962633697
3598;96.94477651222262
3736;97.30657843121801
3874;97.33844992794067
4013;97.30083320080291
4151;97.84682171685212
4289;97.62995053755017
4428;97.54430553518029
4566;98.09084066530339
4705;97.69569509326243
4843;97.81188950489926
4981;97.9561358680167
5120;97.61914319224164
5258;97.88355612549721
5396;97.71428730191131
5535;98.04211169658252
5673;98.00974548994097
5812;97.66207942757133
5950;97.87742690754939
6088;97.7729900954211
6227;97.60411501327258
6365;98.05908250413536
6503;97.03490494399131
6642;94.81374577829162
6780;93.1689638237845
6918;91.11983337204887
7057;89.54147681943451
7195;87.76153573893365
7334;86.23987808307962
7472;84.70877791597255
7610;82.61819465628822
7749;81.93367730875718
7887;79.76496282548273
8025;78.04710880251888
8164;77.18824795558268
8302;75.59175896832274
8441;74.18866677331232
8579;73.06927600696389
8717;72.16478872107896
8856;71.1515104457276
8994;70.24327453213557
9132;68.93924383955715
9271;67.76969472347695
9409;66.72597006538702
9548;65.9353431620682
9686;65.16081526597435
9824;63.92676046709168
9963;63.2671138640212
10101;62.18757325123353
10239;60.81282472366822
10378;60.43423297315325
10516;59.61956222702275
10654;58.68838704265516
10793;58.035066170929746
10931;57.443396287934654
11070;56.287666691639686
11208;55.347574093250614
11346;54.895995980078034
11485;54.31688609812733
11623;53.637005958626304
11761;52.68292760723433
11900;51.517282700938985
12038;50.56561925819239
12177;50.4972736393761
12315;48.90747438236343
12453;48.32574086005313
12592;47.121488130170505
12730;42.65036189433499
12868;45.50449732362541
13007;38.24135517154645
13145;27.971563675361867
13284;17.707528430207844
13422;12.173564901829312
13560;17.83615966437416
