
===================================
Domain Marker;critical-jOPS;5750.0
Domain Marker;max-jOPS;13007.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;700.0;1000.0
277.0;300.0;500.0;700.0;700.0;900.0;1500.0
415.0;300.0;500.0;800.0;900.0;1100.0;142000.0
553.0;300.0;600.0;900.0;1000.0;1300.0;156000.0
692.0;300.0;700.0;1100.0;1200.0;1500.0;150000.0
830.0;300.0;800.0;1200.0;1400.0;1700.0;149000.0
969.0;300.0;900.0;1400.0;1500.0;1800.0;11300.0
1107.0;300.0;1000.0;1500.0;1700.0;2000.0;145000.0
1245.0;300.0;1100.0;1700.0;1800.0;2400.0;147000.0
1384.0;300.0;1200.0;1800.0;2000.0;2400.0;144000.0
1522.0;300.0;1200.0;1900.0;2100.0;2600.0;141000.0
1660.0;300.0;1300.0;2100.0;2300.0;3100.0;144000.0
1799.0;300.0;1400.0;2200.0;2400.0;3600.0;157000.0
1937.0;300.0;1500.0;2300.0;2600.0;3300.0;155000.0
2076.0;300.0;1600.0;2500.0;2800.0;3900.0;153000.0
2214.0;300.0;1600.0;2600.0;2900.0;3600.0;148000.0
2352.0;300.0;1700.0;2700.0;3000.0;4500.0;163000.0
2491.0;300.0;1800.0;2900.0;3200.0;5300.0;150000.0
2629.0;300.0;1900.0;3000.0;3300.0;5400.0;157000.0
2767.0;300.0;1900.0;3200.0;3500.0;7900.0;157000.0
2906.0;300.0;2000.0;3300.0;3700.0;8400.0;151000.0
3044.0;300.0;2100.0;3500.0;3800.0;6900.0;152000.0
3183.0;300.0;2100.0;3600.0;4000.0;10067.00000000128;179000.0
3321.0;300.0;2200.0;3700.0;4100.0;12800.0;185000.0
3459.0;300.0;2300.0;3900.0;4300.0;12600.0;159000.0
3598.0;300.0;2400.0;4000.0;4500.0;16700.0;154000.0
3736.0;300.0;2400.0;4200.0;4700.0;17000.0;194000.0
3874.0;300.0;2500.0;4300.0;4800.0;12900.0;151000.0
4013.0;300.0;2600.0;4400.0;5000.0;16400.0;153000.0
4151.0;300.0;2700.0;4600.0;5200.0;21000.0;239000.0
4289.0;300.0;2800.0;4800.0;5400.0;32000.0;228000.0
4428.0;400.0;2900.0;4900.0;5500.0;23000.0;153000.0
4566.0;300.0;2900.0;5100.0;5900.0;25000.0;162000.0
4705.0;300.0;3000.0;5200.0;5900.0;27000.0;218000.0
4843.0;300.0;3100.0;5400.0;6100.0;25000.0;217000.0
4981.0;300.0;3200.0;5500.0;6200.0;22000.0;174000.0
5120.0;300.0;3300.0;5900.0;6900.0;39000.0;201000.0
5258.0;300.0;3400.0;6000.0;7000.0;31000.0;248000.0
5396.0;300.0;3400.0;6100.0;7000.0;44000.0;342000.0
5535.0;300.0;3500.0;6300.0;7500.0;40000.0;282000.0
5673.0;400.0;3600.0;6400.0;7700.0;41000.0;209000.0
5812.0;300.0;3700.0;6600.0;7900.0;38000.0;281000.0
5950.0;300.0;3800.0;6900.0;8700.0;52000.0;282000.0
6088.0;300.0;3900.0;7100.0;9100.0;65000.0;180000.0
6227.0;300.0;4000.0;7300.0;9100.0;47000.0;279000.0
6365.0;300.0;4100.0;7700.0;10600.0;55000.0;268000.0
6503.0;300.0;4200.0;7500.0;9100.0;43000.0;162000.0
6642.0;400.0;4400.0;8100.0;11900.0;62000.0;320000.0
6780.0;300.0;4500.0;8200.0;11200.0;58000.0;340000.0
6918.0;300.0;4600.0;8500.0;11900.0;51000.0;433000.0
7057.0;300.0;4700.0;8700.0;13900.0;53900.00000002328;303000.0
7195.0;300.0;4800.0;9100.0;16400.0;64000.0;368000.0
7334.0;300.0;4900.0;9400.0;14700.0;71000.0;482000.0
7472.0;300.0;5100.0;9900.0;16400.0;77000.0;428000.0
7610.0;300.0;5200.0;10500.0;19500.0;77000.0;363000.0
7749.0;300.0;5300.0;11000.0;28000.0;85000.0;391000.0
7887.0;300.0;5200.0;10600.0;18700.0;68000.0;318000.0
8025.0;300.0;5300.0;11700.0;29000.0;86000.0;377000.0
8164.0;300.0;5300.0;11400.0;25000.0;83000.0;369000.0
8302.0;300.0;5600.0;13200.0;30000.0;98000.0;640000.0
8441.0;400.0;5400.0;12500.0;28000.0;84000.0;410000.0
8579.0;400.0;5600.0;14500.0;43000.0;95000.0;950000.0
8717.0;300.0;5800.0;13600.0;35000.0;90000.0;414000.0
8856.0;300.0;5700.0;15800.0;40000.0;101000.0;459000.0
8994.0;300.0;6100.0;16200.0;40000.0;99000.0;630000.0
9132.0;300.0;5700.0;15600.0;41000.0;105000.0;574000.0
9271.0;300.0;5900.0;19200.0;53000.0;105000.0;596000.0
9409.0;300.0;6200.0;23000.0;58000.0;107000.0;1500000.0
9548.0;300.0;6400.0;22000.0;58000.0;103000.0;1800000.0
9686.0;300.0;6500.0;18100.0;39000.0;87000.0;493000.0
9824.0;300.0;6800.0;29000.0;62000.0;117000.0;1100000.0
9963.0;300.0;7200.0;43000.0;79000.0;132000.0;1800000.0
10101.0;300.0;7200.0;37000.0;80000.0;173000.0;1900000.0
10239.0;300.0;7000.0;30000.0;65000.0;121000.0;670000.0
10378.0;300.0;7400.0;41000.0;77000.0;127000.0;1400000.0
10516.0;300.0;7700.0;58000.0;99000.0;169000.0;2100000.0
10654.0;300.0;7800.0;38000.0;71000.0;112000.0;660000.0
10793.0;300.0;8200.0;57000.0;101000.0;170000.0;1900000.0
10931.0;300.0;8600.0;62000.0;106000.0;194000.0;2700000.0
11070.0;300.0;9300.0;66000.0;102000.0;200000.0;1900000.0
11208.0;300.0;8700.0;43000.0;76000.0;132000.0;880000.0
11346.0;300.0;10300.0;71000.0;110000.0;167000.0;1900000.0
11485.0;300.0;11600.0;108000.0;182000.0;282000.0;3000000.0
11623.0;300.0;11400.0;84000.0;125000.0;241000.0;4400000.0
11761.0;300.0;11700.0;70000.0;106000.0;163000.0;960000.0
11900.0;300.0;14900.0;98000.0;143000.0;233869.99999999534;4100000.0
12038.0;300.0;16700.0;132000.0;196000.0;316000.0;3000000.0
12177.0;300.0;16100.0;90000.0;126000.0;217000.0;1600000.0
12315.0;300.0;26000.0;147000.0;230000.0;363000.0;4800000.0
12453.0;300.0;29000.0;189000.0;276000.0;454000.0;4900000.0
12592.0;400.0;41000.0;195000.0;267000.0;446000.0;5500000.0
12730.0;300.0;38000.0;143000.0;189000.0;294000.0;7200000.0
12868.0;400.0;105000.0;261000.0;317000.0;494000.0;9100000.0
13007.0;500.0;278000.0;620000.0;750000.0;1300000.0;1.3E7
13145.0;5900.0;568000.0;940000.0;1200000.0;3200000.0;4.6E7
13284.0;80000.0;630000.0;1300000.0;1600000.0;2000000.0;4.6E7
13422.0;91000.0;640000.0;950000.0;1200000.0;2500000.0;4.5E7
13560.0;12200.0;790000.0;3400000.0;5200000.0;9200000.0;6.0E7
