
===================================
Domain Marker;critical-jOPS;5647.0
Domain Marker;max-jOPS;13007.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;700.0;1100.0
277.0;300.0;500.0;700.0;800.0;900.0;143000.0
415.0;300.0;600.0;800.0;900.0;1100.0;1600.0
553.0;300.0;700.0;1000.0;1100.0;1300.0;149000.0
692.0;300.0;700.0;1100.0;1200.0;1500.0;155000.0
830.0;300.0;800.0;1300.0;1400.0;1800.0;167000.0
969.0;300.0;900.0;1400.0;1500.0;1800.0;160000.0
1107.0;300.0;1000.0;1600.0;1700.0;2000.0;12000.0
1245.0;400.0;1100.0;1700.0;1900.0;2300.0;170000.0
1384.0;300.0;1200.0;1800.0;2000.0;2500.0;10700.0
1522.0;400.0;1300.0;2000.0;2200.0;2600.0;171000.0
1660.0;300.0;1300.0;2100.0;2300.0;2900.0;167000.0
1799.0;300.0;1400.0;2300.0;2500.0;3200.0;167000.0
1937.0;300.0;1500.0;2400.0;2600.0;3300.0;170000.0
2076.0;300.0;1600.0;2500.0;2800.0;3700.0;174000.0
2214.0;300.0;1700.0;2700.0;3000.0;3800.0;173000.0
2352.0;300.0;1700.0;2800.0;3100.0;5300.0;171000.0
2491.0;400.0;1800.0;3000.0;3200.0;4700.0;173000.0
2629.0;300.0;1900.0;3100.0;3400.0;5800.0;170000.0
2767.0;300.0;2000.0;3200.0;3600.0;7300.0;173000.0
2906.0;300.0;2000.0;3400.0;3700.0;5000.0;173000.0
3044.0;300.0;2100.0;3500.0;3900.0;7900.0;176000.0
3183.0;300.0;2200.0;3700.0;4100.0;8700.0;198000.0
3321.0;400.0;2300.0;3800.0;4200.0;13000.0;173000.0
3459.0;400.0;2400.0;4000.0;4400.0;10000.0;171000.0
3598.0;300.0;2400.0;4100.0;4600.0;14900.0;169000.0
3736.0;300.0;2500.0;4300.0;4800.0;16200.0;201000.0
3874.0;300.0;2600.0;4400.0;5000.0;23000.0;237000.0
4013.0;400.0;2600.0;4500.0;5100.0;19800.0;176000.0
4151.0;300.0;2800.0;4700.0;5400.0;24000.0;255000.0
4289.0;400.0;2900.0;5000.0;5700.0;28000.0;239000.0
4428.0;400.0;2900.0;5100.0;5800.0;26000.0;173000.0
4566.0;300.0;3000.0;5200.0;5900.0;37000.0;222000.0
4705.0;300.0;3100.0;5300.0;6100.0;29000.0;175000.0
4843.0;300.0;3200.0;5500.0;6300.0;22000.0;195000.0
4981.0;300.0;3200.0;5700.0;6500.0;37000.0;268000.0
5120.0;300.0;3300.0;5900.0;6900.0;37000.0;177000.0
5258.0;300.0;3500.0;6200.0;7200.0;44000.0;296000.0
5396.0;300.0;3500.0;6200.0;7200.0;42000.0;176000.0
5535.0;300.0;3600.0;6400.0;7600.0;40000.0;279000.0
5673.0;400.0;3700.0;6600.0;7900.0;47000.0;306000.0
5812.0;400.0;3700.0;6800.0;8100.0;50000.0;363000.0
5950.0;400.0;3900.0;7000.0;8400.0;44000.0;269000.0
6088.0;300.0;4000.0;7300.0;8900.0;56000.0;277000.0
6227.0;300.0;4100.0;7400.0;9000.0;54000.0;335000.0
6365.0;400.0;4200.0;7700.0;9700.0;60000.0;396000.0
6503.0;300.0;4400.0;8000.0;10700.0;69000.0;304000.0
6642.0;400.0;4500.0;8300.0;11300.0;54000.0;379000.0
6780.0;400.0;4700.0;8500.0;11100.0;64000.0;438000.0
6918.0;400.0;4700.0;8600.0;11200.0;60000.0;342000.0
7057.0;300.0;4800.0;8900.0;12300.0;70000.0;365000.0
