Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5647.0
Domain Marker;max-jOPS;13007.0
Domain Marker;Last Success for SLAs;8579.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;92.11637043221262
277;93.8657151108322
415;94.35068096408315
553;94.79532293021569
692;95.4491235907225
830;95.7432642492648
969;96.50936986627246
1107;95.96168318232722
1245;96.60566610542546
1384;96.45766150221922
1522;96.69717338138226
1660;96.7074845564644
1799;96.92710845639716
1937;96.80954200990703
2076;96.75868045409794
2214;96.48319070839706
2352;97.00352773586972
2491;96.98772267010963
2629;97.18419286712108
2767;97.31649639806972
2906;97.43727688405775
3044;97.47498307995751
3183;97.17147948727678
3321;97.57900514885603
3459;97.15467509301992
3598;97.45221564309433
3736;97.3340380349027
3874;97.19779927378097
4013;97.41169667731656
4151;97.36778663737323
4289;97.54073236150845
4428;97.40123071081496
4566;97.80217142012773
4705;97.40000316202699
4843;97.00033669716636
4981;97.65253888942387
5120;97.79895626242144
5258;97.56956474432167
5396;97.84465315759068
5535;97.68341308210492
5673;97.97751696571638
5812;97.94631218646354
5950;97.7594505018034
6088;97.64232057533306
6227;97.86569699350065
6365;97.30801580111014
6503;96.67950676354916
6642;94.37455709238372
6780;93.19820782602613
6918;91.26783427492897
7057;88.95895485714736
7195;87.88111422707816
7334;85.37776976082652
7472;84.89105258283521
7610;82.63219044520342
7749;81.76613162723014
7887;79.64074691658685
8025;77.91766780376967
8164;76.91039852808474
8302;75.8068372659478
8441;74.3363249124166
8579;73.12965047509623
8717;72.12786158603656
8856;71.0001822946063
8994;69.76059464075348
9132;68.88712923990212
9271;67.80434057733996
9409;66.68848533212004
9548;66.34158229206867
9686;64.73450566298597
9824;63.74188486874287
9963;63.04224927127309
10101;62.13898874437714
10239;61.06187155161053
10378;60.54375437609298
10516;59.508800927998635
10654;58.59594020549745
10793;58.2909495274241
10931;56.7941954639832
11070;56.495917394409105
11208;55.59730254197451
11346;55.151523741209004
11485;54.31717141928009
11623;53.716196260708095
11761;53.13670430858935
11900;51.99992706164463
12038;51.294328955959685
12177;48.77849461630405
12315;50.367465687775145
12453;48.9393086455728
12592;46.57401673049063
12730;47.18200014099609
12868;40.61217830155174
13007;37.047148816456854
13145;23.60727666324998
13284;20.974104782442602
13422;12.389355207202374
13560;4.532383810350078
