Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5456.0
Domain Marker;max-jOPS;13007.0
Domain Marker;Last Success for SLAs;8302.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.62489949882585
277;93.16216057199453
415;94.54139362564351
553;95.2117445129409
692;95.37576158208174
830;95.53436750135148
969;96.54474740266424
1107;95.56522987832564
1245;95.55269342130767
1384;95.98692038233345
1522;96.4925831961399
1660;96.37129659635886
1799;96.34992291526797
1937;96.62273165435688
2076;97.01336820156395
2214;96.90405486805054
2352;96.75619331283549
2491;96.77292292871516
2629;97.19842644770162
2767;97.06262398138648
2906;97.27276463922082
3044;97.0869309421139
3183;97.26486841841363
3321;96.78171120504217
3459;97.35018190122246
3598;97.43378927924844
3736;97.68566787087191
3874;97.67005855227123
4013;97.35515261872493
4151;97.77979415366876
4289;97.49308918062384
4428;97.49119845352112
4566;97.23502918712663
4705;97.51595071603215
4843;97.6111231279628
4981;97.68285116881101
5120;97.46198916698907
5258;97.78932413981777
5396;97.46177218050354
5535;97.46058787026551
5673;97.62464503034047
5812;97.67688772556961
5950;97.57733050679093
6088;97.57131551636824
6227;97.80965131387143
6365;97.86832489347479
6503;96.5302586551837
6642;94.43103927362884
6780;92.88811998871019
6918;90.01372741675637
7057;88.95304074675872
7195;88.02734029324195
7334;85.65499481635085
7472;84.55107163246467
7610;82.31774661036175
7749;81.45580607050341
7887;79.75114426293095
8025;77.49184604148928
8164;77.1317934407882
8302;75.22118388269297
8441;73.75258515829516
8579;73.05521094623253
8717;72.20366215406965
8856;71.26178551958645
8994;69.88165839083545
9132;68.50253248314887
9271;67.59247404593668
9409;66.65674968024528
9548;66.31812561859786
9686;65.34385888904791
9824;63.642242127605044
9963;63.24240309748607
10101;62.16377350218558
10239;61.30619421941762
10378;60.44516335038925
10516;59.59557305445007
10654;58.10391792823848
10793;58.163688269693466
10931;56.82721224463804
11070;56.15657788376451
11208;55.811423840848235
11346;55.32258163220139
11485;53.586704445798105
11623;53.946838321520495
11761;52.90890648586131
11900;51.187317601700855
12038;51.5405224806024
12177;50.97236068971312
12315;47.93536306854115
12453;48.984467987930806
12592;46.224900992625635
12730;47.05579619949453
12868;35.129146112235304
13007;21.40486426795748
13145;16.676765930917735
13284;1.8804180599412725
13422;9.207540093176439
13560;8.834091897644392
