
===================================
Domain Marker;critical-jOPS;5723.0
Domain Marker;max-jOPS;12868.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;700.0;1100.0
277.0;300.0;500.0;700.0;800.0;900.0;144000.0
415.0;300.0;600.0;800.0;900.0;1100.0;1700.0
553.0;300.0;700.0;1000.0;1100.0;1300.0;151000.0
692.0;300.0;800.0;1100.0;1300.0;1500.0;4300.0
830.0;300.0;800.0;1300.0;1400.0;1700.0;156000.0
969.0;300.0;900.0;1500.0;1600.0;1900.0;160000.0
1107.0;300.0;1000.0;1600.0;1700.0;2100.0;159000.0
1245.0;300.0;1100.0;1700.0;1900.0;2300.0;169000.0
1384.0;400.0;1200.0;1900.0;2000.0;2500.0;161000.0
1522.0;300.0;1300.0;2000.0;2200.0;2700.0;166000.0
1660.0;300.0;1400.0;2100.0;2300.0;2900.0;167000.0
1799.0;300.0;1500.0;2300.0;2500.0;3100.0;162000.0
1937.0;300.0;1500.0;2400.0;2700.0;3600.0;169000.0
2076.0;300.0;1600.0;2600.0;2800.0;3600.0;168000.0
2214.0;300.0;1700.0;2700.0;3000.0;4200.0;165000.0
2352.0;400.0;1700.0;2800.0;3100.0;4100.0;168000.0
2491.0;300.0;1800.0;3000.0;3300.0;4500.0;170000.0
2629.0;400.0;1900.0;3200.0;3500.0;5500.0;165000.0
2767.0;400.0;2000.0;3300.0;3600.0;4600.0;173000.0
2906.0;400.0;2100.0;3400.0;3800.0;6700.0;198000.0
3044.0;300.0;2100.0;3600.0;3900.0;7300.0;229000.0
3183.0;400.0;2200.0;3700.0;4100.0;10000.0;171000.0
3321.0;400.0;2300.0;3800.0;4200.0;6700.0;170000.0
3459.0;400.0;2400.0;4000.0;4500.0;12600.0;175000.0
3598.0;300.0;2500.0;4200.0;4700.0;19600.0;166000.0
3736.0;400.0;2500.0;4300.0;4800.0;11400.0;172000.0
3874.0;400.0;2600.0;4400.0;5000.0;21000.0;213000.0
4013.0;300.0;2700.0;4600.0;5200.0;21000.0;164000.0
4151.0;300.0;2800.0;4800.0;5500.0;32000.0;267000.0
4289.0;400.0;2900.0;5000.0;5700.0;25000.0;167000.0
4428.0;400.0;3000.0;5100.0;5800.0;24000.0;183000.0
4566.0;300.0;3000.0;5200.0;6000.0;22000.0;203000.0
4705.0;400.0;3100.0;5400.0;6100.0;22000.0;172000.0
4843.0;300.0;3200.0;5600.0;6400.0;30000.0;172000.0
4981.0;400.0;3300.0;5800.0;6700.0;32000.0;260000.0
5120.0;300.0;3500.0;6100.0;7000.0;29000.0;214000.0
5258.0;400.0;3500.0;6200.0;7300.0;34000.0;281000.0
5396.0;400.0;3600.0;6400.0;7500.0;36000.0;285000.0
5535.0;300.0;3700.0;6600.0;7600.0;29000.0;242000.0
5673.0;400.0;3800.0;6800.0;8100.0;39000.0;234000.0
5812.0;400.0;3900.0;7000.0;8400.0;41000.0;257000.0
5950.0;300.0;4000.0;7200.0;8800.0;56000.0;333000.0
6088.0;300.0;4100.0;7400.0;9100.0;55000.0;293000.0
6227.0;400.0;4200.0;7700.0;9600.0;64000.0;313000.0
6365.0;400.0;4200.0;7800.0;9900.0;50000.0;417000.0
6503.0;400.0;4400.0;8500.0;12300.0;74000.0;489000.0
6642.0;300.0;4600.0;8400.0;10600.0;70000.0;359000.0
6780.0;400.0;4800.0;8700.0;11700.0;69000.0;360000.0
6918.0;400.0;5000.0;9300.0;12800.0;84000.0;326000.0
7057.0;400.0;5000.0;9300.0;12800.0;76000.0;381000.0
