Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;5723.0
Domain Marker;max-jOPS;12868.0
Domain Marker;Last Success for SLAs;9548.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.91509139561737
277;93.65531862818085
415;94.0111856525655
553;94.4457726463663
692;95.55530327995224
830;95.50249858797487
969;96.28741406979351
1107;95.77386529647582
1245;96.19089067351473
1384;96.88816437667877
1522;96.15651173228613
1660;96.12004167639869
1799;97.38356163130652
1937;96.69233902180882
2076;97.04068155628644
2214;96.7612597015491
2352;97.04117159648283
2491;96.90511979986499
2629;97.13206754020177
2767;97.22925706040915
2906;97.09136781940055
3044;97.3396400706478
3183;97.31530028413322
3321;96.79233509618842
3459;97.39425149788825
3598;97.00399726813835
3736;97.36528385650158
3874;97.21412071818501
4013;97.45403188740981
4151;97.32362075389668
4289;97.67906737140846
4428;97.6335916888248
4566;97.4350235674112
4705;97.40038609128601
4843;97.10431120969238
4981;97.41404764336706
5120;97.54184298415419
5258;97.69019523671868
5396;97.44939377722153
5535;97.99637502410238
5673;97.58977474837668
5812;97.73510330268729
5950;98.05670641465271
6088;97.55278496528007
6227;97.8499733827914
6365;97.74565116350647
6503;96.69678535318954
6642;94.41174400755258
6780;93.13933077114028
6918;90.87368785121676
7057;89.11453385607437
7195;88.02512697763159
7334;85.93814085776606
7472;84.5777920924314
7610;82.76636874455153
7749;81.33268209502434
7887;79.85016483560862
8025;77.6572251914246
8164;77.10408195561011
8302;75.20753212542785
8441;74.19963797851219
8579;73.17925581059467
8717;71.9488141050652
8856;71.16772925591151
8994;70.23218432325817
9132;68.80147793599379
9271;67.67318847548228
9409;66.5764416290948
9548;65.40071508382812
9686;64.7396845546919
9824;64.05097753494378
9963;62.79404294954095
10101;61.99816968493686
10239;61.33597291874276
10378;60.0416142203136
10516;59.44483612206314
10654;58.41750014276672
10793;57.56219969089044
10931;57.19738438430652
11070;56.38368014316241
11208;55.0699089237666
11346;54.92687218090442
11485;54.236703137223294
11623;52.050881940637026
11761;53.43211785678045
11900;52.00456208402501
12038;50.03149937139778
12177;50.145391442373075
12315;49.69709803777384
12453;49.33902504275843
12592;48.382896145657654
12730;34.65977779627702
12868;33.597036582217854
13007;11.67130467975761
13145;18.243206433552906
13284;21.862303421515932
13422;10.12787014589654
