
===================================
Domain Marker;critical-jOPS;5428.0
Domain Marker;max-jOPS;13007.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;700.0;900.0
277.0;300.0;500.0;700.0;800.0;900.0;2500.0
415.0;300.0;600.0;800.0;900.0;1100.0;151000.0
553.0;300.0;700.0;1000.0;1100.0;1300.0;2200.0
692.0;300.0;800.0;1200.0;1300.0;1600.0;162000.0
830.0;400.0;900.0;1300.0;1400.0;1800.0;161000.0
969.0;300.0;1000.0;1500.0;1600.0;1900.0;173000.0
1107.0;400.0;1000.0;1600.0;1800.0;2100.0;165000.0
1245.0;300.0;1100.0;1700.0;1900.0;2500.0;169000.0
1384.0;400.0;1200.0;1900.0;2100.0;2600.0;167000.0
1522.0;400.0;1300.0;2100.0;2200.0;2800.0;169000.0
1660.0;400.0;1400.0;2200.0;2400.0;2900.0;175000.0
1799.0;400.0;1500.0;2300.0;2600.0;3500.0;172000.0
1937.0;300.0;1500.0;2500.0;2700.0;3500.0;176000.0
2076.0;300.0;1600.0;2600.0;2900.0;4000.0;169000.0
2214.0;400.0;1700.0;2800.0;3000.0;4100.0;170000.0
2352.0;400.0;1800.0;2900.0;3200.0;4600.0;173000.0
2491.0;400.0;1900.0;3100.0;3400.0;4700.0;171000.0
2629.0;400.0;2000.0;3200.0;3600.0;7100.0;175000.0
2767.0;400.0;2100.0;3400.0;3800.0;5800.0;194000.0
2906.0;400.0;2200.0;3600.0;4000.0;7666.000000000349;180000.0
3044.0;400.0;2200.0;3660.000000000582;4000.0;6500.0;174000.0
3183.0;400.0;2300.0;3800.0;4200.0;11400.0;184000.0
3321.0;400.0;2400.0;4000.0;4400.0;12700.0;171000.0
3459.0;400.0;2500.0;4100.0;4600.0;14300.0;174000.0
3598.0;400.0;2500.0;4300.0;4800.0;19923.000000001048;177000.0
3736.0;400.0;2600.0;4500.0;5000.0;18700.0;251000.0
3874.0;400.0;2700.0;4600.0;5100.0;10900.0;179000.0
4013.0;400.0;2800.0;4800.0;5400.0;18000.0;174000.0
4151.0;400.0;2900.0;5000.0;5600.0;24000.0;273000.0
4289.0;400.0;3000.0;5200.0;5900.0;27000.0;171000.0
4428.0;400.0;3000.0;5200.0;6000.0;28000.0;177000.0
4566.0;300.0;3100.0;5400.0;6200.0;30000.0;240000.0
4705.0;400.0;3200.0;5500.0;6300.0;27000.0;175000.0
4843.0;300.0;3300.0;5700.0;6600.0;43000.0;268000.0
4981.0;400.0;3400.0;5900.0;6900.0;32000.0;210000.0
5120.0;400.0;3500.0;6200.0;7200.0;40000.0;288000.0
5258.0;300.0;3500.0;6200.0;7300.0;45000.0;186000.0
5396.0;400.0;3600.0;6400.0;7600.0;43000.0;179000.0
5535.0;300.0;3700.0;6800.0;8200.0;56000.0;313000.0
5673.0;300.0;3900.0;6900.0;8300.0;48000.0;330000.0
5812.0;300.0;3900.0;7100.0;8700.0;57000.0;392000.0
5950.0;400.0;4000.0;7400.0;9200.0;67000.0;361000.0
6088.0;400.0;4100.0;7400.0;9200.0;51000.0;287000.0
6227.0;400.0;4200.0;7800.0;10000.0;59000.0;308000.0
6365.0;300.0;4300.0;8100.0;10800.0;50000.0;304000.0
6503.0;400.0;4500.0;8100.0;10300.0;60000.0;379000.0
6642.0;400.0;4700.0;8900.0;14100.0;65000.0;418000.0
6780.0;300.0;4800.0;8900.0;12000.0;70000.0;444000.0
6918.0;400.0;4900.0;9100.0;11700.0;63000.0;281000.0
7057.0;400.0;5000.0;9500.0;13900.0;76000.0;367000.0
7195.0;400.0;5100.0;9800.0;15900.0;82000.0;470000.0
7334.0;400.0;5300.0;9800.0;12900.0;64000.0;350000.0
7472.0;300.0;5500.0;10900.0;17800.0;88000.0;428000.0
7610.0;400.0;5600.0;11000.0;16800.0;80000.0;409000.0
7749.0;400.0;5600.0;11400.0;23000.0;81000.0;404000.0
7887.0;300.0;5600.0;11900.0;23000.0;83000.0;462000.0
8025.0;300.0;5700.0;12600.0;35000.0;98000.0;455000.0
8164.0;300.0;5700.0;12600.0;27000.0;83000.0;356000.0
8302.0;400.0;6000.0;14500.0;40000.0;95000.0;492000.0
8441.0;300.0;5900.0;14000.0;34000.0;98000.0;446000.0
8579.0;300.0;6100.0;14700.0;36000.0;114000.0;474000.0
8717.0;300.0;6300.0;16500.0;51000.0;122000.0;518000.0
8856.0;400.0;6300.0;17400.0;46000.0;105000.0;450000.0
8994.0;300.0;6500.0;18900.0;46000.0;102000.0;670000.0
9132.0;300.0;6400.0;16600.0;38000.0;95000.0;531000.0
9271.0;300.0;6500.0;18000.0;44000.0;102000.0;660000.0
9409.0;400.0;6600.0;21000.0;58000.0;137000.0;660000.0
9548.0;300.0;7200.0;53000.0;101000.0;180000.0;2500000.0
9686.0;300.0;7400.0;27000.0;81000.0;134000.0;700000.0
9824.0;300.0;7400.0;26000.0;74000.0;145000.0;650000.0
9963.0;300.0;7500.0;40000.0;78000.0;151000.0;860000.0
10101.0;300.0;8100.0;56000.0;95000.0;173000.0;2300000.0
10239.0;300.0;8000.0;30000.0;72000.0;151000.0;870000.0
10378.0;300.0;8400.0;50000.0;90000.0;166000.0;810000.0
10516.0;300.0;8200.0;43000.0;79000.0;181000.0;970000.0
10654.0;300.0;9900.0;75000.0;119000.0;175000.0;1900000.0
10793.0;300.0;10000.0;61000.0;100000.0;189000.0;880000.0
10931.0;300.0;9700.0;55000.0;100000.0;181000.0;1200000.0
11070.0;300.0;10600.0;59000.0;101000.0;170000.0;920000.0
11208.0;300.0;13000.0;99000.0;140000.0;263560.0000000559;3200000.0
11346.0;300.0;13700.0;94000.0;134000.0;206000.0;1300000.0
11485.0;300.0;13100.0;77000.0;105000.0;186000.0;1200000.0
11623.0;300.0;16800.0;86000.0;124000.0;200000.0;3600000.0
11761.0;300.0;19800.0;99000.0;134000.0;219000.0;1800000.0
11900.0;300.0;32000.0;144000.0;201000.0;323000.0;6200000.0
12038.0;300.0;21000.0;102000.0;149000.0;253000.0;1500000.0
12177.0;300.0;26000.0;100000.0;138000.0;248000.0;1800000.0
12315.0;400.0;56000.0;181000.0;232000.0;380000.0;4500000.0
12453.0;300.0;52000.0;159000.0;205000.0;295000.0;3400000.0
12592.0;300.0;129000.0;309000.0;385000.0;496000.0;9400000.0
12730.0;400.0;341000.0;670000.0;790000.0;1200000.0;1.8E7
12868.0;7700.0;545000.0;980000.0;1300000.0;3500000.0;3.2E7
13007.0;104000.0;690000.0;1300000.0;1900000.0;2900000.0;5.0E7
13145.0;27000.0;620000.0;1200000.0;1700000.0;9500000.0;6.0E7
13284.0;76000.0;790000.0;1200000.0;1300000.0;3600000.0;6.0E7
13422.0;174000.0;800000.0;1500000.0;1700000.0;4500000.0;6.0E7
13560.0;88000.0;940000.0;3400000.0;6700000.0;1.7E7;5.1E7
